Protein,Protein ID,Control,Treatment,Difference
sp|Q15149|PLEC_HUMAN,Q15149,98,239,141
sp|P05787|K2C8_HUMAN,P05787,118,253,135
sp|P05783|K1C18_HUMAN,P05783,104,204,100
sp|P78527|PRKDC_HUMAN,P78527,41,119,78
sp|P57053|H2BFS_HUMAN,P57053,0,70,70
sp|P42704|LPPRC_HUMAN,P42704,35,85,50
sp|P62805|H4_HUMAN,P62805,51,97,46
sp|P35579|MYH9_HUMAN,P35579,151,194,43
sp|P08670|VIME_HUMAN,P08670,71,113,42
sp|P16403|H12_HUMAN,P16403,4,35,31
sp|P31327|CPSM_HUMAN,P31327,31,62,31
sp|Q9Y5B9|SP16H_HUMAN,Q9Y5B9,4,35,31
sp|Q01082|SPTB2_HUMAN,Q01082,42,72,30
sp|P40939|ECHA_HUMAN,P40939,18,46,28
sp|O75643|U520_HUMAN,O75643,5,32,27
sp|P0C0S8|H2A1_HUMAN,P0C0S8,34,61,27
sp|Q6P2Q9|PRP8_HUMAN,Q6P2Q9,3,30,27
sp|P02545|LMNA_HUMAN,P02545,69,94,25
sp|P16615|AT2A2_HUMAN,P16615,5,30,25
sp|Q08211|DHX9_HUMAN,Q08211,11,35,24
sp|Q9BQG0|MBB1A_HUMAN,Q9BQG0,3,27,24
sp|Q9NZM1|MYOF_HUMAN,Q9NZM1,26,50,24
sp|Q14204|DYHC1_HUMAN,Q14204,71,94,23
sp|O75367|H2AY_HUMAN,O75367,4,26,22
sp|P33527|MRP1_HUMAN,P33527,15,36,21
sp|Q02880|TOP2B_HUMAN,Q02880,4,24,20
sp|Q13813|SPTN1_HUMAN,Q13813,50,70,20
sp|P07099|HYEP_HUMAN,P07099,25,44,19
sp|P35580|MYH10_HUMAN,P35580,14,33,19
sp|O00159|MYO1C_HUMAN,O00159,19,37,18
sp|P00367|DHE3_HUMAN,P00367,18,36,18
sp|P10412|H14_HUMAN,P10412,16,34,18
sp|P11021|BIP_HUMAN,P11021,90,108,18
sp|P20700|LMNB1_HUMAN,P20700,18,35,17
sp|Q08945|SSRP1_HUMAN,Q08945,3,20,17
sp|Q92616|GCN1_HUMAN,Q92616,26,43,17
sp|Q9BSJ8|ESYT1_HUMAN,Q9BSJ8,5,22,17
sp|Q14690|RRP5_HUMAN,Q14690,0,17,17
sp|O76021|RL1D1_HUMAN,O76021,4,20,16
sp|P14625|ENPL_HUMAN,P14625,62,78,16
sp|Q5SSJ5|HP1B3_HUMAN,Q5SSJ5,2,18,16
sp|Q9NR30|DDX21_HUMAN,Q9NR30,7,23,16
sp|Q9Y6N5|SQOR_HUMAN,Q9Y6N5,12,28,16
sp|O00567|NOP56_HUMAN,O00567,0,16,16
sp|O00148|DX39A_HUMAN,O00148,1,16,15
sp|O43795|MYO1B_HUMAN,O43795,19,34,15
sp|P05141|ADT2_HUMAN,P05141,30,45,15
sp|P33993|MCM7_HUMAN,P33993,9,24,15
sp|P11387|TOP1_HUMAN,P11387,0,15,15
sp|P09874|PARP1_HUMAN,P09874,13,27,14
sp|P54886|P5CS_HUMAN,P54886,2,16,14
sp|Q00839|HNRPU_HUMAN,Q00839,38,52,14
sp|Q15393|SF3B3_HUMAN,Q15393,5,19,14
sp|Q9NSE4|SYIM_HUMAN,Q9NSE4,5,19,14
sp|O94906|PRP6_HUMAN,O94906,1,15,14
sp|Q92878|RAD50_HUMAN,Q92878,0,14,14
sp|Q9UNX3|RL26L_HUMAN,Q9UNX3,0,14,14
sp|P08727|K1C19_HUMAN,P08727,15,28,13
sp|P09622|DLDH_HUMAN,P09622,9,22,13
sp|P13010|XRCC5_HUMAN,P13010,14,27,13
sp|P39023|RL3_HUMAN,P39023,30,43,13
sp|Q1KMD3|HNRL2_HUMAN,Q1KMD3,5,18,13
sp|Q5JTH9|RRP12_HUMAN,Q5JTH9,1,14,13
sp|O60264|SMCA5_HUMAN,O60264,0,13,13
sp|Q7L014|DDX46_HUMAN,Q7L014,0,13,13
sp|P15924|DESP_HUMAN,P15924,4,16,12
sp|P36776|LONM_HUMAN,P36776,6,18,12
sp|Q92614|MY18A_HUMAN,Q92614,5,17,12
sp|Q9UJS0|S2513_HUMAN,Q9UJS0,3,15,12
sp|O43790|KRT86_HUMAN,O43790,0,12,12
sp|P17480|UBF1_HUMAN,P17480,0,12,12
sp|Q29RF7|PDS5A_HUMAN,Q29RF7,0,12,12
sp|Q2TB90|HKDC1_HUMAN,Q2TB90,0,12,12
sp|Q9BZE4|GTPB4_HUMAN,Q9BZE4,0,12,12
sp|Q9H0A0|NAT10_HUMAN,Q9H0A0,0,12,12
sp|O75533|SF3B1_HUMAN,O75533,4,15,11
sp|O95573|ACSL3_HUMAN,O95573,12,23,11
sp|P05023|AT1A1_HUMAN,P05023,27,38,11
sp|P17252|KPCA_HUMAN,P17252,4,15,11
sp|P36578|RL4_HUMAN,P36578,34,45,11
sp|P46087|NOP2_HUMAN,P46087,3,14,11
sp|P49821|NDUV1_HUMAN,P49821,4,15,11
sp|P55084|ECHB_HUMAN,P55084,18,29,11
sp|Q13247|SRSF6_HUMAN,Q13247,2,13,11
sp|Q14683|SMC1A_HUMAN,Q14683,6,17,11
sp|Q9NYU2|UGGG1_HUMAN,Q9NYU2,7,18,11
sp|O75694|NU155_HUMAN,O75694,0,11,11
sp|Q92621|NU205_HUMAN,Q92621,0,11,11
sp|Q9BVP2|GNL3_HUMAN,Q9BVP2,0,11,11
sp|O43242|PSMD3_HUMAN,O43242,10,20,10
sp|O60568|PLOD3_HUMAN,O60568,2,12,10
sp|P04843|RPN1_HUMAN,P04843,20,30,10
sp|P21796|VDAC1_HUMAN,P21796,35,45,10
sp|P27635|RL10_HUMAN,P27635,10,20,10
sp|P47712|PA24A_HUMAN,P47712,11,21,10
sp|Q02218|ODO1_HUMAN,Q02218,2,12,10
sp|Q5T4S7|UBR4_HUMAN,Q5T4S7,6,16,10
sp|Q63HN8|RN213_HUMAN,Q63HN8,8,18,10
sp|Q8N1F7|NUP93_HUMAN,Q8N1F7,9,19,10
sp|Q02978|M2OM_HUMAN,Q02978,1,11,10
sp|P11388|TOP2A_HUMAN,P11388,0,10,10
sp|P11498|PYC_HUMAN,P11498,0,10,10
sp|P43246|MSH2_HUMAN,P43246,0,10,10
sp|P50416|CPT1A_HUMAN,P50416,0,10,10
sp|Q16778|H2B2E_HUMAN,Q16778,0,10,10
sp|O15438|MRP3_HUMAN,O15438,3,12,9
sp|O95831|AIFM1_HUMAN,O95831,19,28,9
sp|P05091|ALDH2_HUMAN,P05091,24,33,9
sp|P06396|GELS_HUMAN,P06396,7,16,9
sp|P16435|NCPR_HUMAN,P16435,15,24,9
sp|P19338|NUCL_HUMAN,P19338,47,56,9
sp|P26640|SYVC_HUMAN,P26640,8,17,9
sp|P29317|EPHA2_HUMAN,P29317,5,14,9
sp|P40429|RL13A_HUMAN,P40429,12,21,9
sp|P49748|ACADV_HUMAN,P49748,18,27,9
sp|P51812|KS6A3_HUMAN,P51812,8,17,9
sp|P62241|RS8_HUMAN,P62241,16,25,9
sp|Q03252|LMNB2_HUMAN,Q03252,9,18,9
sp|Q12797|ASPH_HUMAN,Q12797,18,27,9
sp|Q6NZI2|CAVN1_HUMAN,Q6NZI2,9,18,9
sp|Q6PI48|SYDM_HUMAN,Q6PI48,4,13,9
sp|Q7Z2K6|ERMP1_HUMAN,Q7Z2K6,2,11,9
sp|A0FGR8|ESYT2_HUMAN,A0FGR8,0,9,9
sp|P35900|K1C20_HUMAN,P35900,0,9,9
sp|P52701|MSH6_HUMAN,P52701,0,9,9
sp|Q14573|ITPR3_HUMAN,Q14573,0,9,9
sp|Q15020|SART3_HUMAN,Q15020,0,9,9
sp|Q7L2E3|DHX30_HUMAN,Q7L2E3,0,9,9
sp|Q8TCJ2|STT3B_HUMAN,Q8TCJ2,0,9,9
sp|Q9HD20|AT131_HUMAN,Q9HD20,0,9,9
sp|Q9NW13|RBM28_HUMAN,Q9NW13,0,9,9
sp|Q9UQE7|SMC3_HUMAN,Q9UQE7,0,9,9
sp|Q9Y2X3|NOP58_HUMAN,Q9Y2X3,0,9,9
sp|O00571|DDX3X_HUMAN,O00571,22,30,8
sp|P06756|ITAV_HUMAN,P06756,31,39,8
sp|P08559|ODPA_HUMAN,P08559,10,18,8
sp|P20020|AT2B1_HUMAN,P20020,21,29,8
sp|P23284|PPIB_HUMAN,P23284,51,59,8
sp|P30837|AL1B1_HUMAN,P30837,9,17,8
sp|P42167|LAP2B_HUMAN,P42167,9,17,8
sp|P61221|ABCE1_HUMAN,P61221,11,19,8
sp|P61313|RL15_HUMAN,P61313,12,20,8
sp|P62424|RL7A_HUMAN,P62424,20,28,8
sp|Q02543|RL18A_HUMAN,Q02543,16,24,8
sp|Q13200|PSMD2_HUMAN,Q13200,21,29,8
sp|Q16629|SRSF7_HUMAN,Q16629,6,14,8
sp|Q709C8|VP13C_HUMAN,Q709C8,1,9,8
sp|Q7Z2W4|ZCCHV_HUMAN,Q7Z2W4,10,18,8
sp|Q8N766|EMC1_HUMAN,Q8N766,2,10,8
sp|Q8TEM1|PO210_HUMAN,Q8TEM1,6,14,8
sp|Q92887|MRP2_HUMAN,Q92887,3,11,8
sp|Q9P2E9|RRBP1_HUMAN,Q9P2E9,36,44,8
sp|P03928|ATP8_HUMAN,P03928,0,8,8
sp|P19367|HXK1_HUMAN,P19367,0,8,8
sp|P28288|ABCD3_HUMAN,P28288,0,8,8
sp|P63096|GNAI1_HUMAN,P63096,0,8,8
sp|P98160|PGBM_HUMAN,P98160,0,8,8
sp|Q8IY81|SPB1_HUMAN,Q8IY81,0,8,8
sp|Q8TCS8|PNPT1_HUMAN,Q8TCS8,0,8,8
sp|Q9BTV4|TMM43_HUMAN,Q9BTV4,0,8,8
sp|Q9HD45|TM9S3_HUMAN,Q9HD45,0,8,8
sp|Q9UIG0|BAZ1B_HUMAN,Q9UIG0,0,8,8
sp|O43143|DHX15_HUMAN,O43143,7,14,7
sp|P04040|CATA_HUMAN,P04040,9,16,7
sp|P10620|MGST1_HUMAN,P10620,10,17,7
sp|P13611|CSPG2_HUMAN,P13611,6,13,7
sp|P16401|H15_HUMAN,P16401,2,9,7
sp|P25205|MCM3_HUMAN,P25205,8,15,7
sp|P26006|ITA3_HUMAN,P26006,13,20,7
sp|P38919|IF4A3_HUMAN,P38919,9,16,7
sp|P43034|LIS1_HUMAN,P43034,9,16,7
sp|P62701|RS4X_HUMAN,P62701,20,27,7
sp|P62995|TRA2B_HUMAN,P62995,3,10,7
sp|P83731|RL24_HUMAN,P83731,8,15,7
sp|Q00610|CLH1_HUMAN,Q00610,75,82,7
sp|Q12931|TRAP1_HUMAN,Q12931,15,22,7
sp|Q15029|U5S1_HUMAN,Q15029,6,13,7
sp|Q15436|SC23A_HUMAN,Q15436,6,13,7
sp|Q9NTJ3|SMC4_HUMAN,Q9NTJ3,4,11,7
sp|P43155|CACP_HUMAN,P43155,1,8,7
sp|Q92538|GBF1_HUMAN,Q92538,2,9,7
sp|P36873|PP1G_HUMAN,P36873,1,8,7
sp|Q13428|TCOF_HUMAN,Q13428,1,8,7
sp|O00116|ADAS_HUMAN,O00116,0,7,7
sp|O43615|TIM44_HUMAN,O43615,0,7,7
sp|O95470|SGPL1_HUMAN,O95470,0,7,7
sp|Q14344|GNA13_HUMAN,Q14344,0,7,7
sp|Q15287|RNPS1_HUMAN,Q15287,0,7,7
sp|Q8NI36|WDR36_HUMAN,Q8NI36,0,7,7
sp|Q9BUQ8|DDX23_HUMAN,Q9BUQ8,0,7,7
sp|Q9NXF1|TEX10_HUMAN,Q9NXF1,0,7,7
sp|Q9UH99|SUN2_HUMAN,Q9UH99,0,7,7
sp|Q9UKK3|PARP4_HUMAN,Q9UKK3,0,7,7
sp|Q9UQ35|SRRM2_HUMAN,Q9UQ35,0,7,7
sp|Q9Y3T9|NOC2L_HUMAN,Q9Y3T9,0,7,7
sp|O75955|FLOT1_HUMAN,O75955,10,16,6
sp|O95299|NDUAA_HUMAN,O95299,3,9,6
sp|P04844|RPN2_HUMAN,P04844,12,18,6
sp|P08729|K2C7_HUMAN,P08729,60,66,6
sp|P18124|RL7_HUMAN,P18124,15,21,6
sp|P19525|E2AK2_HUMAN,P19525,4,10,6
sp|P19784|CSK22_HUMAN,P19784,2,8,6
sp|P23396|RS3_HUMAN,P23396,31,37,6
sp|P28331|NDUS1_HUMAN,P28331,20,26,6
sp|P30101|PDIA3_HUMAN,P30101,51,57,6
sp|P31040|SDHA_HUMAN,P31040,14,20,6
sp|P33992|MCM5_HUMAN,P33992,4,10,6
sp|P36542|ATPG_HUMAN,P36542,6,12,6
sp|P43304|GPDM_HUMAN,P43304,9,15,6
sp|P46459|NSF_HUMAN,P46459,6,12,6
sp|P46777|RL5_HUMAN,P46777,19,25,6
sp|P46779|RL28_HUMAN,P46779,7,13,6
sp|P49753|ACOT2_HUMAN,P49753,7,13,6
sp|P49792|RBP2_HUMAN,P49792,3,9,6
sp|P50454|SERPH_HUMAN,P50454,16,22,6
sp|P53621|COPA_HUMAN,P53621,23,29,6
sp|P61026|RAB10_HUMAN,P61026,13,19,6
sp|P68431|H31_HUMAN,P68431,13,19,6
sp|Q12965|MYO1E_HUMAN,Q12965,9,15,6
sp|Q13576|IQGA2_HUMAN,Q13576,2,8,6
sp|Q14566|MCM6_HUMAN,Q14566,5,11,6
sp|Q93008|USP9X_HUMAN,Q93008,10,16,6
sp|Q99798|ACON_HUMAN,Q99798,11,17,6
sp|Q9NP81|SYSM_HUMAN,Q9NP81,9,15,6
sp|Q9UIJ7|KAD3_HUMAN,Q9UIJ7,9,15,6
sp|Q9Y2W1|TR150_HUMAN,Q9Y2W1,6,12,6
sp|Q9Y4W6|AFG32_HUMAN,Q9Y4W6,6,12,6
sp|O14975|S27A2_HUMAN,O14975,0,6,6
sp|O15042|SR140_HUMAN,O15042,0,6,6
sp|O15226|NKRF_HUMAN,O15226,0,6,6
sp|P05165|PCCA_HUMAN,P05165,0,6,6
sp|P19013|K2C4_HUMAN,P19013,0,6,6
sp|P46939|UTRN_HUMAN,P46939,0,6,6
sp|P82933|RT09_HUMAN,P82933,0,6,6
sp|Q01780|EXOSX_HUMAN,Q01780,0,6,6
sp|Q12769|NU160_HUMAN,Q12769,0,6,6
sp|Q12788|TBL3_HUMAN,Q12788,0,6,6
sp|Q13595|TRA2A_HUMAN,Q13595,0,6,6
sp|Q15382|RHEB_HUMAN,Q15382,0,6,6
sp|Q8IZL8|PELP1_HUMAN,Q8IZL8,0,6,6
sp|Q8TEQ6|GEMI5_HUMAN,Q8TEQ6,0,6,6
sp|Q8WUY1|THEM6_HUMAN,Q8WUY1,0,6,6
sp|Q96GQ7|DDX27_HUMAN,Q96GQ7,0,6,6
sp|Q9BVI4|NOC4L_HUMAN,Q9BVI4,0,6,6
sp|Q9BW92|SYTM_HUMAN,Q9BW92,0,6,6
sp|Q9H6R4|NOL6_HUMAN,Q9H6R4,0,6,6
sp|Q9H845|ACAD9_HUMAN,Q9H845,0,6,6
sp|Q9NTJ5|SAC1_HUMAN,Q9NTJ5,0,6,6
sp|O15031|PLXB2_HUMAN,O15031,9,14,5
sp|O43747|AP1G1_HUMAN,O43747,3,8,5
sp|O60313|OPA1_HUMAN,O60313,5,10,5
sp|O75477|ERLN1_HUMAN,O75477,5,10,5
sp|O76094|SRP72_HUMAN,O76094,7,12,5
sp|P10253|LYAG_HUMAN,P10253,8,13,5
sp|P12956|XRCC6_HUMAN,P12956,25,30,5
sp|P22695|QCR2_HUMAN,P22695,18,23,5
sp|P24539|AT5F1_HUMAN,P24539,11,16,5
sp|P42677|RS27_HUMAN,P42677,3,8,5
sp|P46776|RL27A_HUMAN,P46776,3,8,5
sp|P46781|RS9_HUMAN,P46781,22,27,5
sp|P48735|IDHP_HUMAN,P48735,11,16,5
sp|P50914|RL14_HUMAN,P50914,9,14,5
sp|P55265|DSRAD_HUMAN,P55265,10,15,5
sp|P61019|RAB2A_HUMAN,P61019,9,14,5
sp|P61247|RS3A_HUMAN,P61247,29,34,5
sp|P61353|RL27_HUMAN,P61353,9,14,5
sp|P62269|RS18_HUMAN,P62269,16,21,5
sp|P62906|RL10A_HUMAN,P62906,10,15,5
sp|P62917|RL8_HUMAN,P62917,15,20,5
sp|P68366|TBA4A_HUMAN,P68366,19,24,5
sp|P78347|GTF2I_HUMAN,P78347,8,13,5
sp|Q05193|DYN1_HUMAN,Q05193,11,16,5
sp|Q07020|RL18_HUMAN,Q07020,18,23,5
sp|Q14254|FLOT2_HUMAN,Q14254,8,13,5
sp|Q16795|NDUA9_HUMAN,Q16795,6,11,5
sp|Q8NBX0|SCPDL_HUMAN,Q8NBX0,2,7,5
sp|Q96A33|CCD47_HUMAN,Q96A33,11,16,5
sp|Q99460|PSMD1_HUMAN,Q99460,22,27,5
sp|Q99873|ANM1_HUMAN,Q99873,9,14,5
sp|Q9BUF5|TBB6_HUMAN,Q9BUF5,3,8,5
sp|Q9BYT8|NEUL_HUMAN,Q9BYT8,12,17,5
sp|Q9NZ01|TECR_HUMAN,Q9NZ01,6,11,5
sp|Q9P0K7|RAI14_HUMAN,Q9P0K7,5,10,5
sp|Q9UHB9|SRP68_HUMAN,Q9UHB9,10,15,5
sp|Q9Y6C9|MTCH2_HUMAN,Q9Y6C9,2,7,5
sp|Q8IZV5|RDH10_HUMAN,Q8IZV5,2,7,5
sp|Q969Z0|FAKD4_HUMAN,Q969Z0,2,7,5
sp|Q9BQ67|GRWD1_HUMAN,Q9BQ67,2,7,5
sp|Q96EY7|PTCD3_HUMAN,Q96EY7,1,6,5
sp|A0AVT1|UBA6_HUMAN,A0AVT1,1,6,5
sp|P69905|HBA_HUMAN,P69905,1,6,5
sp|Q96N66|MBOA7_HUMAN,Q96N66,1,6,5
sp|Q9BZG1|RAB34_HUMAN,Q9BZG1,1,6,5
sp|O75400|PR40A_HUMAN,O75400,0,5,5
sp|O75691|UTP20_HUMAN,O75691,0,5,5
sp|P27361|MK03_HUMAN,P27361,0,5,5
sp|P28370|SMCA1_HUMAN,P28370,0,5,5
sp|P46977|STT3A_HUMAN,P46977,0,5,5
sp|P49916|DNLI3_HUMAN,P49916,0,5,5
sp|P78345|RPP38_HUMAN,P78345,0,5,5
sp|Q13823|NOG2_HUMAN,Q13823,0,5,5
sp|Q14137|BOP1_HUMAN,Q14137,0,5,5
sp|Q14669|TRIPC_HUMAN,Q14669,0,5,5
sp|Q14839|CHD4_HUMAN,Q14839,0,5,5
sp|Q4G176|ACSF3_HUMAN,Q4G176,0,5,5
sp|Q7L592|NDUF7_HUMAN,Q7L592,0,5,5
sp|Q96FZ7|CHMP6_HUMAN,Q96FZ7,0,5,5
sp|Q99797|MIPEP_HUMAN,Q99797,0,5,5
sp|Q99848|EBP2_HUMAN,Q99848,0,5,5
sp|Q9BTW9|TBCD_HUMAN,Q9BTW9,0,5,5
sp|Q9BV38|WDR18_HUMAN,Q9BV38,0,5,5
sp|Q9GZR7|DDX24_HUMAN,Q9GZR7,0,5,5
sp|Q9NVP1|DDX18_HUMAN,Q9NVP1,0,5,5
sp|Q9P035|HACD3_HUMAN,Q9P035,0,5,5
sp|Q9P0M6|H2AW_HUMAN,Q9P0M6,0,5,5
sp|Q9UGP8|SEC63_HUMAN,Q9UGP8,0,5,5
sp|Q9Y5J1|UTP18_HUMAN,Q9Y5J1,0,5,5
sp|Q9Y6K5|OAS3_HUMAN,Q9Y6K5,0,5,5
sp|O15230|LAMA5_HUMAN,O15230,11,15,4
sp|O15260|SURF4_HUMAN,O15260,2,6,4
sp|O43681|GET3_HUMAN,O43681,3,7,4
sp|O43837|IDH3B_HUMAN,O43837,7,11,4
sp|O75439|MPPB_HUMAN,O75439,3,7,4
sp|O95182|NDUA7_HUMAN,O95182,3,7,4
sp|P00403|COX2_HUMAN,P00403,3,7,4
sp|P06576|ATPB_HUMAN,P06576,56,60,4
sp|P07237|PDIA1_HUMAN,P07237,75,79,4
sp|P09543|CN37_HUMAN,P09543,9,13,4
sp|P09669|COX6C_HUMAN,P09669,7,11,4
sp|P18621|RL17_HUMAN,P18621,11,15,4
sp|P21980|TGM2_HUMAN,P21980,11,15,4
sp|P25705|ATPA_HUMAN,P25705,60,64,4
sp|P33991|MCM4_HUMAN,P33991,8,12,4
