Protein,Protein ID,Control,Treatment,Difference
sp|P61978|HNRPK_HUMAN,P61978,55,0,-55
sp|P78371|TCPB_HUMAN,P78371,55,0,-55
sp|Q8IVF2|AHNK2_HUMAN,Q8IVF2,55,0,-55
sp|Q14980|NUMA1_HUMAN,Q14980,54,0,-54
sp|P13667|PDIA4_HUMAN,P13667,52,0,-52
sp|P06748|NPM_HUMAN,P06748,51,0,-51
sp|P23284|PPIB_HUMAN,P23284,51,0,-51
sp|P30101|PDIA3_HUMAN,P30101,51,0,-51
sp|P62805|H4_HUMAN,P62805,51,0,-51
sp|Q13813|SPTN1_HUMAN,Q13813,50,0,-50
sp|P50395|GDIB_HUMAN,P50395,49,0,-49
sp|P67936|TPM4_HUMAN,P67936,49,0,-49
sp|P12270|TPR_HUMAN,P12270,48,0,-48
sp|P37802|TAGL2_HUMAN,P37802,48,0,-48
sp|P19338|NUCL_HUMAN,P19338,47,0,-47
sp|P58876|H2B1D_HUMAN,P58876,47,0,-47
sp|P13797|PLST_HUMAN,P13797,46,0,-46
sp|P46940|IQGA1_HUMAN,P46940,46,0,-46
sp|P62258|1433E_HUMAN,P62258,45,0,-45
sp|P23528|COF1_HUMAN,P23528,44,0,-44
sp|P48643|TCPE_HUMAN,P48643,44,0,-44
sp|Q16891|MIC60_HUMAN,Q16891,44,0,-44
sp|O75874|IDHC_HUMAN,O75874,43,0,-43
sp|P09936|UCHL1_HUMAN,P09936,43,0,-43
sp|P11586|C1TC_HUMAN,P11586,43,0,-43
sp|P23246|SFPQ_HUMAN,P23246,43,0,-43
sp|P34932|HSP74_HUMAN,P34932,43,0,-43
sp|P49588|SYAC_HUMAN,P49588,43,0,-43
sp|Q01813|PFKAP_HUMAN,Q01813,43,0,-43
sp|Q07065|CKAP4_HUMAN,Q07065,43,0,-43
sp|P46821|MAP1B_HUMAN,P46821,42,0,-42
sp|P49368|TCPG_HUMAN,P49368,42,0,-42
sp|P60842|IF4A1_HUMAN,P60842,42,0,-42
sp|Q01082|SPTB2_HUMAN,Q01082,42,0,-42
sp|Q14697|GANAB_HUMAN,Q14697,42,0,-42
sp|Q92945|FUBP2_HUMAN,Q92945,42,0,-42
sp|P07195|LDHB_HUMAN,P07195,41,0,-41
sp|P08195|4F2_HUMAN,P08195,41,0,-41
sp|P11940|PABP1_HUMAN,P11940,41,0,-41
sp|P17844|DDX5_HUMAN,P17844,41,0,-41
sp|P18669|PGAM1_HUMAN,P18669,41,0,-41
sp|P78527|PRKDC_HUMAN,P78527,41,0,-41
sp|Q92598|HS105_HUMAN,Q92598,41,0,-41
sp|P09382|LEG1_HUMAN,P09382,40,0,-40
sp|P37837|TALDO_HUMAN,P37837,40,0,-40
sp|P38117|ETFB_HUMAN,P38117,40,0,-40
sp|P49411|EFTU_HUMAN,P49411,40,0,-40
sp|P27348|1433T_HUMAN,P27348,39,0,-39
sp|Q8WUM4|PDC6I_HUMAN,Q8WUM4,39,0,-39
sp|P04792|HSPB1_HUMAN,P04792,38,0,-38
sp|P22314|UBA1_HUMAN,P22314,38,0,-38
sp|Q00839|HNRPU_HUMAN,Q00839,38,0,-38
sp|Q9UQ80|PA2G4_HUMAN,Q9UQ80,38,0,-38
sp|O75083|WDR1_HUMAN,O75083,37,0,-37
sp|Q16555|DPYL2_HUMAN,Q16555,37,0,-37
sp|O43390|HNRPR_HUMAN,O43390,36,0,-36
sp|P09429|HMGB1_HUMAN,P09429,36,0,-36
sp|P14866|HNRPL_HUMAN,P14866,36,0,-36
sp|P26641|EF1G_HUMAN,P26641,36,0,-36
sp|P31943|HNRH1_HUMAN,P31943,36,0,-36
sp|P61604|CH10_HUMAN,P61604,36,0,-36
sp|Q15233|NONO_HUMAN,Q15233,36,0,-36
sp|Q9P2E9|RRBP1_HUMAN,Q9P2E9,36,0,-36
sp|P00505|AATM_HUMAN,P00505,35,0,-35
sp|P14923|PLAK_HUMAN,P14923,35,0,-35
sp|P21796|VDAC1_HUMAN,P21796,35,0,-35
sp|P27824|CALX_HUMAN,P27824,35,0,-35
sp|P31939|PUR9_HUMAN,P31939,35,0,-35
sp|P42704|LPPRC_HUMAN,P42704,35,0,-35
sp|P50990|TCPQ_HUMAN,P50990,35,0,-35
sp|P50991|TCPD_HUMAN,P50991,35,0,-35
sp|Q06830|PRDX1_HUMAN,Q06830,93,58,-35
sp|Q86UP2|KTN1_HUMAN,Q86UP2,35,0,-35
sp|Q96AE4|FUBP1_HUMAN,Q96AE4,35,0,-35
sp|P05556|ITB1_HUMAN,P05556,34,0,-34
sp|P0C0S8|H2A1_HUMAN,P0C0S8,34,0,-34
sp|P0DP23|CALM1_HUMAN,P0DP23,34,0,-34
sp|P36578|RL4_HUMAN,P36578,34,0,-34
sp|P43490|NAMPT_HUMAN,P43490,34,0,-34
sp|P07910|HNRPC_HUMAN,P07910,33,0,-33
sp|P35221|CTNA1_HUMAN,P35221,33,0,-33
sp|P05455|LA_HUMAN,P05455,32,0,-32
sp|P07814|SYEP_HUMAN,P07814,32,0,-32
sp|P27797|CALR_HUMAN,P27797,32,0,-32
sp|P38159|RBMX_HUMAN,P38159,32,0,-32
sp|P62826|RAN_HUMAN,P62826,32,0,-32
sp|P63244|RACK1_HUMAN,P63244,32,0,-32
sp|Q02790|FKBP4_HUMAN,Q02790,32,0,-32
sp|Q12906|ILF3_HUMAN,Q12906,32,0,-32
sp|Q16881|TRXR1_HUMAN,Q16881,32,0,-32
sp|P00390|GSHR_HUMAN,P00390,31,0,-31
sp|P06756|ITAV_HUMAN,P06756,31,0,-31
sp|P13489|RINI_HUMAN,P13489,31,0,-31
sp|P15531|NDKA_HUMAN,P15531,31,0,-31
sp|P23396|RS3_HUMAN,P23396,31,0,-31
sp|P26599|PTBP1_HUMAN,P26599,31,0,-31
sp|P31327|CPSM_HUMAN,P31327,31,0,-31
sp|P35998|PRS7_HUMAN,P35998,31,0,-31
sp|P40227|TCPZ_HUMAN,P40227,31,0,-31
sp|P50995|ANX11_HUMAN,P50995,31,0,-31
sp|Q14974|IMB1_HUMAN,Q14974,31,0,-31
sp|O14979|HNRDL_HUMAN,O14979,30,0,-30
sp|P05141|ADT2_HUMAN,P05141,30,0,-30
sp|P05387|RLA2_HUMAN,P05387,30,0,-30
sp|P20810|ICAL_HUMAN,P20810,30,0,-30
sp|P27816|MAP4_HUMAN,P27816,30,0,-30
sp|P39023|RL3_HUMAN,P39023,30,0,-30
sp|P22234|PUR6_HUMAN,P22234,29,0,-29
sp|P26639|SYTC_HUMAN,P26639,29,0,-29
sp|P29692|EF1D_HUMAN,P29692,29,0,-29
sp|P30043|BLVRB_HUMAN,P30043,29,0,-29
sp|P42166|LAP2A_HUMAN,P42166,29,0,-29
sp|P61247|RS3A_HUMAN,P61247,29,0,-29
sp|Q02878|RL6_HUMAN,Q02878,29,0,-29
sp|Q13263|TIF1B_HUMAN,Q13263,29,0,-29
sp|Q14764|MVP_HUMAN,Q14764,29,0,-29
sp|P09960|LKHA4_HUMAN,P09960,28,0,-28
sp|P12814|ACTN1_HUMAN,P12814,28,0,-28
sp|P16152|CBR1_HUMAN,P16152,28,0,-28
sp|P26447|S10A4_HUMAN,P26447,28,0,-28
sp|P30041|PRDX6_HUMAN,P30041,28,0,-28
sp|P40925|MDHC_HUMAN,P40925,28,0,-28
sp|Q14103|HNRPD_HUMAN,Q14103,28,0,-28
sp|Q92896|GSLG1_HUMAN,Q92896,28,0,-28
sp|Q99623|PHB2_HUMAN,Q99623,28,0,-28
sp|Q99832|TCPH_HUMAN,Q99832,28,0,-28
sp|P05023|AT1A1_HUMAN,P05023,27,0,-27
sp|P11216|PYGB_HUMAN,P11216,27,0,-27
sp|P12429|ANXA3_HUMAN,P12429,27,0,-27
sp|P14868|SYDC_HUMAN,P14868,27,0,-27
sp|P15311|EZRI_HUMAN,P15311,27,0,-27
sp|P23526|SAHH_HUMAN,P23526,27,0,-27
sp|P54577|SYYC_HUMAN,P54577,27,0,-27
sp|P61158|ARP3_HUMAN,P61158,27,0,-27
sp|Q07955|SRSF1_HUMAN,Q07955,27,0,-27
sp|Q15084|PDIA6_HUMAN,Q15084,27,0,-27
sp|Q96TA1|NIBA2_HUMAN,Q96TA1,27,0,-27
sp|Q9C0C2|TB182_HUMAN,Q9C0C2,27,0,-27
sp|P08865|RSSA_HUMAN,P08865,26,0,-26
sp|P17980|PRS6A_HUMAN,P17980,26,0,-26
sp|P17987|TCPA_HUMAN,P17987,26,0,-26
sp|P24752|THIL_HUMAN,P24752,26,0,-26
sp|P62333|PRS10_HUMAN,P62333,26,0,-26
sp|Q92616|GCN1_HUMAN,Q92616,26,0,-26
sp|Q96HC4|PDLI5_HUMAN,Q96HC4,26,0,-26
sp|Q99497|PARK7_HUMAN,Q99497,26,0,-26
sp|Q9NZM1|MYOF_HUMAN,Q9NZM1,26,0,-26
sp|O14818|PSA7_HUMAN,O14818,25,0,-25
sp|O60716|CTND1_HUMAN,O60716,25,0,-25
sp|P07099|HYEP_HUMAN,P07099,25,0,-25
sp|P08133|ANXA6_HUMAN,P08133,25,0,-25
sp|P12004|PCNA_HUMAN,P12004,25,0,-25
sp|P12956|XRCC6_HUMAN,P12956,25,0,-25
sp|P14550|AK1A1_HUMAN,P14550,25,0,-25
sp|P31930|QCR1_HUMAN,P31930,25,0,-25
sp|P39019|RS19_HUMAN,P39019,25,0,-25
sp|P43243|MATR3_HUMAN,P43243,25,0,-25
sp|P46783|RS10_HUMAN,P46783,25,0,-25
sp|P55786|PSA_HUMAN,P55786,25,0,-25
sp|P60981|DEST_HUMAN,P60981,25,0,-25
sp|Q01469|FABP5_HUMAN,Q01469,25,0,-25
sp|Q01518|CAP1_HUMAN,Q01518,25,0,-25
sp|Q04637|IF4G1_HUMAN,Q04637,25,0,-25
sp|Q86VP6|CAND1_HUMAN,Q86VP6,25,0,-25
sp|Q9UHD8|SEPT9_HUMAN,Q9UHD8,25,0,-25
sp|Q9UNM6|PSD13_HUMAN,Q9UNM6,25,0,-25
sp|Q9Y265|RUVB1_HUMAN,Q9Y265,25,0,-25
sp|P05091|ALDH2_HUMAN,P05091,24,0,-24
sp|P25398|RS12_HUMAN,P25398,24,0,-24
sp|P25786|PSA1_HUMAN,P25786,24,0,-24
sp|P30086|PEBP1_HUMAN,P30086,24,0,-24
sp|P30153|2AAA_HUMAN,P30153,24,0,-24
sp|P34897|GLYM_HUMAN,P34897,24,0,-24
sp|P35232|PHB1_HUMAN,P35232,24,0,-24
sp|P42765|THIM_HUMAN,P42765,24,0,-24
sp|P51991|ROA3_HUMAN,P51991,24,0,-24
sp|P55060|XPO2_HUMAN,P55060,24,0,-24
sp|P62328|TYB4_HUMAN,P62328,24,0,-24
sp|P63241|IF5A1_HUMAN,P63241,24,0,-24
sp|Q14247|SRC8_HUMAN,Q14247,24,0,-24
sp|Q14914|PTGR1_HUMAN,Q14914,24,0,-24
sp|Q15365|PCBP1_HUMAN,Q15365,24,0,-24
sp|Q9Y230|RUVB2_HUMAN,Q9Y230,24,0,-24
sp|O94925|GLSK_HUMAN,O94925,23,0,-23
sp|P31946|1433B_HUMAN,P31946,23,0,-23
sp|P41091|IF2G_HUMAN,P41091,23,0,-23
sp|P53621|COPA_HUMAN,P53621,23,0,-23
sp|P62753|RS6_HUMAN,P62753,23,0,-23
sp|Q14847|LASP1_HUMAN,Q14847,23,0,-23
sp|Q15459|SF3A1_HUMAN,Q15459,23,0,-23
sp|Q15691|MARE1_HUMAN,Q15691,23,0,-23
sp|Q68CZ2|TENS3_HUMAN,Q68CZ2,23,0,-23
sp|Q7KZF4|SND1_HUMAN,Q7KZF4,23,0,-23
sp|Q99615|DNJC7_HUMAN,Q99615,23,0,-23
sp|Q9NZI8|IF2B1_HUMAN,Q9NZI8,23,0,-23
sp|O00571|DDX3X_HUMAN,O00571,22,0,-22
sp|P05388|RLA0_HUMAN,P05388,22,0,-22
sp|P46781|RS9_HUMAN,P46781,22,0,-22
sp|P52565|GDIR1_HUMAN,P52565,22,0,-22
sp|P54727|RD23B_HUMAN,P54727,22,0,-22
sp|P55884|EIF3B_HUMAN,P55884,22,0,-22
sp|P63313|TYB10_HUMAN,P63313,22,0,-22
sp|Q13011|ECH1_HUMAN,Q13011,22,0,-22
sp|Q13283|G3BP1_HUMAN,Q13283,22,0,-22
sp|Q8NC51|PAIRB_HUMAN,Q8NC51,22,0,-22
sp|Q99460|PSMD1_HUMAN,Q99460,22,0,-22
sp|Q9Y4L1|HYOU1_HUMAN,Q9Y4L1,22,0,-22
sp|O60506|HNRPQ_HUMAN,O60506,21,0,-21
sp|O75475|PSIP1_HUMAN,O75475,21,0,-21
sp|O94826|TOM70_HUMAN,O94826,21,0,-21
sp|O95994|AGR2_HUMAN,O95994,21,0,-21
sp|P02786|TFR1_HUMAN,P02786,21,0,-21
sp|P05198|IF2A_HUMAN,P05198,21,0,-21
sp|P20020|AT2B1_HUMAN,P20020,21,0,-21
sp|P20073|ANXA7_HUMAN,P20073,21,0,-21
sp|P27695|APEX1_HUMAN,P27695,21,0,-21
sp|P30048|PRDX3_HUMAN,P30048,21,0,-21
sp|P31949|S10AB_HUMAN,P31949,21,0,-21
sp|P33176|KINH_HUMAN,P33176,21,0,-21
sp|P42224|STAT1_HUMAN,P42224,21,0,-21
sp|P49419|AL7A1_HUMAN,P49419,21,0,-21
sp|P49915|GUAA_HUMAN,P49915,21,0,-21
sp|P51659|DHB4_HUMAN,P51659,21,0,-21
sp|P54136|SYRC_HUMAN,P54136,21,0,-21
sp|P60903|S10AA_HUMAN,P60903,21,0,-21
sp|P62195|PRS8_HUMAN,P62195,21,0,-21
sp|Q13200|PSMD2_HUMAN,Q13200,21,0,-21
sp|Q13509|TBB3_HUMAN,Q13509,21,0,-21
sp|Q14152|EIF3A_HUMAN,Q14152,21,0,-21
sp|Q7Z6Z7|HUWE1_HUMAN,Q7Z6Z7,21,0,-21
sp|Q96PK6|RBM14_HUMAN,Q96PK6,21,0,-21
sp|Q9BUJ2|HNRL1_HUMAN,Q9BUJ2,21,0,-21
sp|Q9H4A4|AMPB_HUMAN,Q9H4A4,21,0,-21
sp|O00299|CLIC1_HUMAN,O00299,20,0,-20
sp|P04843|RPN1_HUMAN,P04843,20,0,-20
sp|P13693|TCTP_HUMAN,P13693,20,0,-20
sp|P13804|ETFA_HUMAN,P13804,20,0,-20
sp|P22307|SCP2_HUMAN,P22307,20,0,-20
sp|P22570|ADRO_HUMAN,P22570,20,0,-20
sp|P28331|NDUS1_HUMAN,P28331,20,0,-20
sp|P28838|AMPL_HUMAN,P28838,20,0,-20
sp|P30050|RL12_HUMAN,P30050,20,0,-20
sp|P47756|CAPZB_HUMAN,P47756,20,0,-20
sp|P61289|PSME3_HUMAN,P61289,20,0,-20
sp|P62424|RL7A_HUMAN,P62424,20,0,-20
sp|P62701|RS4X_HUMAN,P62701,20,0,-20
sp|Q12905|ILF2_HUMAN,Q12905,20,0,-20
sp|Q15717|ELAV1_HUMAN,Q15717,20,0,-20
sp|Q16851|UGPA_HUMAN,Q16851,20,0,-20
sp|Q8N163|CCAR2_HUMAN,Q8N163,20,0,-20
sp|Q8NBS9|TXND5_HUMAN,Q8NBS9,20,0,-20
sp|Q9HB71|CYBP_HUMAN,Q9HB71,20,0,-20
sp|Q9UBT2|SAE2_HUMAN,Q9UBT2,20,0,-20
sp|O00151|PDLI1_HUMAN,O00151,19,0,-19
sp|O00159|MYO1C_HUMAN,O00159,19,0,-19
sp|O00410|IPO5_HUMAN,O00410,19,0,-19
sp|O43795|MYO1B_HUMAN,O43795,19,0,-19
sp|O60763|USO1_HUMAN,O60763,19,0,-19
sp|O95831|AIFM1_HUMAN,O95831,19,0,-19
sp|P00533|EGFR_HUMAN,P00533,19,0,-19
sp|P06703|S10A6_HUMAN,P06703,19,0,-19
sp|P07437|TBB5_HUMAN,P07437,19,0,-19
sp|P08621|RU17_HUMAN,P08621,19,0,-19
sp|P14314|GLU2B_HUMAN,P14314,19,0,-19
sp|P15170|ERF3A_HUMAN,P15170,19,0,-19
sp|P15880|RS2_HUMAN,P15880,19,0,-19
sp|P21399|ACOHC_HUMAN,P21399,19,0,-19
sp|P23588|IF4B_HUMAN,P23588,19,0,-19
sp|P25788|PSA3_HUMAN,P25788,19,0,-19
sp|P27708|PYR1_HUMAN,P27708,19,0,-19
sp|P31153|METK2_HUMAN,P31153,19,0,-19
sp|P31942|HNRH3_HUMAN,P31942,19,0,-19
sp|P35241|RADI_HUMAN,P35241,19,0,-19
sp|P39687|AN32A_HUMAN,P39687,19,0,-19
sp|P43686|PRS6B_HUMAN,P43686,19,0,-19
sp|P45880|VDAC2_HUMAN,P45880,19,0,-19
sp|P46777|RL5_HUMAN,P46777,19,0,-19
sp|P50570|DYN2_HUMAN,P50570,19,0,-19
sp|P60660|MYL6_HUMAN,P60660,19,0,-19
sp|P62249|RS16_HUMAN,P62249,19,0,-19
sp|P68366|TBA4A_HUMAN,P68366,19,0,-19
sp|Q01105|SET_HUMAN,Q01105,19,0,-19
sp|Q01581|HMCS1_HUMAN,Q01581,19,0,-19
sp|Q04760|LGUL_HUMAN,Q04760,19,0,-19
sp|Q07157|ZO1_HUMAN,Q07157,19,0,-19
sp|Q13435|SF3B2_HUMAN,Q13435,19,0,-19
sp|Q13573|SNW1_HUMAN,Q13573,19,0,-19
sp|Q14019|COTL1_HUMAN,Q14019,19,0,-19
sp|Q14157|UBP2L_HUMAN,Q14157,19,0,-19
sp|Q14533|KRT81_HUMAN,Q14533,19,0,-19
sp|Q15181|IPYR_HUMAN,Q15181,19,0,-19
sp|Q16658|FSCN1_HUMAN,Q16658,19,0,-19
sp|Q92841|DDX17_HUMAN,Q92841,19,0,-19
sp|Q9H9B4|SFXN1_HUMAN,Q9H9B4,19,0,-19
sp|Q9HC38|GLOD4_HUMAN,Q9HC38,19,0,-19
sp|Q9UNZ2|NSF1C_HUMAN,Q9UNZ2,19,0,-19
sp|Q9Y3F4|STRAP_HUMAN,Q9Y3F4,19,0,-19
sp|Q9Y617|SERC_HUMAN,Q9Y617,19,0,-19
sp|O14950|ML12B_HUMAN,O14950,18,0,-18
sp|O75347|TBCA_HUMAN,O75347,18,0,-18
sp|O75390|CISY_HUMAN,O75390,18,0,-18
sp|P00367|DHE3_HUMAN,P00367,18,0,-18
sp|P07942|LAMB1_HUMAN,P07942,18,0,-18
sp|P07951|TPM2_HUMAN,P07951,18,0,-18
sp|P12268|IMDH2_HUMAN,P12268,18,0,-18
sp|P16070|CD44_HUMAN,P16070,18,0,-18
sp|P16949|STMN1_HUMAN,P16949,18,0,-18
sp|P20700|LMNB1_HUMAN,P20700,18,0,-18
sp|P21291|CSRP1_HUMAN,P21291,18,0,-18
sp|P22695|QCR2_HUMAN,P22695,18,0,-18
sp|P40939|ECHA_HUMAN,P40939,18,0,-18
sp|P48163|MAOX_HUMAN,P48163,18,0,-18
sp|P49321|NASP_HUMAN,P49321,18,0,-18
sp|P49748|ACADV_HUMAN,P49748,18,0,-18
sp|P50502|F10A1_HUMAN,P50502,18,0,-18
sp|P52292|IMA1_HUMAN,P52292,18,0,-18
sp|P55084|ECHB_HUMAN,P55084,18,0,-18
sp|P62244|RS15A_HUMAN,P62244,18,0,-18
sp|P62263|RS14_HUMAN,P62263,18,0,-18
sp|P78417|GSTO1_HUMAN,P78417,18,0,-18
sp|P80723|BASP1_HUMAN,P80723,18,0,-18
sp|Q06323|PSME1_HUMAN,Q06323,18,0,-18
sp|Q07020|RL18_HUMAN,Q07020,18,0,-18
sp|Q12797|ASPH_HUMAN,Q12797,18,0,-18
sp|Q13085|ACACA_HUMAN,Q13085,18,0,-18
sp|Q13561|DCTN2_HUMAN,Q13561,18,0,-18
sp|Q13596|SNX1_HUMAN,Q13596,18,0,-18
sp|Q13838|DX39B_HUMAN,Q13838,18,0,-18
sp|Q14789|GOGB1_HUMAN,Q14789,18,0,-18
sp|Q15293|RCN1_HUMAN,Q15293,18,0,-18
sp|Q16719|KYNU_HUMAN,Q16719,18,0,-18
sp|Q27J81|INF2_HUMAN,Q27J81,18,0,-18
sp|Q8TAQ2|SMRC2_HUMAN,Q8TAQ2,18,0,-18
sp|Q93052|LPP_HUMAN,Q93052,18,0,-18
sp|Q96FW1|OTUB1_HUMAN,Q96FW1,18,0,-18
sp|Q9Y3I0|RTCB_HUMAN,Q9Y3I0,18,0,-18
sp|B5ME19|EIFCL_HUMAN,B5ME19,17,0,-17
sp|O43776|SYNC_HUMAN,O43776,17,0,-17
sp|O60664|PLIN3_HUMAN,O60664,17,0,-17
sp|O75531|BAF_HUMAN,O75531,17,0,-17
sp|P04632|CPNS1_HUMAN,P04632,17,0,-17
sp|P06493|CDK1_HUMAN,P06493,17,0,-17
sp|P16144|ITB4_HUMAN,P16144,17,0,-17
sp|P18084|ITB5_HUMAN,P18084,17,0,-17
sp|P23193|TCEA1_HUMAN,P23193,17,0,-17
sp|P30040|ERP29_HUMAN,P30040,17,0,-17
sp|P46782|RS5_HUMAN,P46782,17,0,-17
sp|P54920|SNAA_HUMAN,P54920,17,0,-17
sp|P63010|AP2B1_HUMAN,P63010,17,0,-17
sp|Q00688|FKBP3_HUMAN,Q00688,17,0,-17
sp|Q08257|QOR_HUMAN,Q08257,17,0,-17
sp|Q12904|AIMP1_HUMAN,Q12904,17,0,-17
sp|Q16181|SEPT7_HUMAN,Q16181,17,0,-17
sp|Q16576|RBBP7_HUMAN,Q16576,17,0,-17
sp|Q53H82|LACB2_HUMAN,Q53H82,17,0,-17
sp|Q7L1Q6|5MP2_HUMAN,Q7L1Q6,17,0,-17
sp|Q92823|NRCAM_HUMAN,Q92823,17,0,-17
sp|Q9BWD1|THIC_HUMAN,Q9BWD1,17,0,-17
sp|Q9NZN4|EHD2_HUMAN,Q9NZN4,17,0,-17
sp|Q9UL46|PSME2_HUMAN,Q9UL46,17,0,-17
sp|Q9Y266|NUDC_HUMAN,Q9Y266,17,0,-17
sp|O00469|PLOD2_HUMAN,O00469,16,0,-16
sp|O15143|ARC1B_HUMAN,O15143,16,0,-16
sp|O60271|JIP4_HUMAN,O60271,16,0,-16
sp|P07108|ACBP_HUMAN,P07108,16,0,-16
sp|P09104|ENOG_HUMAN,P09104,16,0,-16
sp|P09496|CLCA_HUMAN,P09496,16,0,-16
sp|P09601|HMOX1_HUMAN,P09601,16,0,-16
sp|P10412|H14_HUMAN,P10412,16,0,-16
sp|P17174|AATC_HUMAN,P17174,16,0,-16
sp|P22087|FBRL_HUMAN,P22087,16,0,-16
sp|P23229|ITA6_HUMAN,P23229,16,0,-16
sp|P30044|PRDX5_HUMAN,P30044,16,0,-16
sp|P30084|ECHM_HUMAN,P30084,16,0,-16
sp|P35270|SPRE_HUMAN,P35270,16,0,-16
sp|P41252|SYIC_HUMAN,P41252,16,0,-16
sp|P49721|PSB2_HUMAN,P49721,16,0,-16
sp|P50454|SERPH_HUMAN,P50454,16,0,-16
sp|P50552|VASP_HUMAN,P50552,16,0,-16
sp|P55036|PSMD4_HUMAN,P55036,16,0,-16
sp|P60228|EIF3E_HUMAN,P60228,16,0,-16
sp|P61204|ARF3_HUMAN,P61204,16,0,-16
sp|P62241|RS8_HUMAN,P62241,16,0,-16
sp|P62269|RS18_HUMAN,P62269,16,0,-16
sp|P62280|RS11_HUMAN,P62280,16,0,-16
sp|P62937|PPIA_HUMAN,P62937,72,56,-16
sp|P67809|YBOX1_HUMAN,P67809,16,0,-16
sp|P84090|ERH_HUMAN,P84090,16,0,-16
sp|Q00325|MPCP_HUMAN,Q00325,16,0,-16
sp|Q00341|VIGLN_HUMAN,Q00341,16,0,-16
sp|Q02543|RL18A_HUMAN,Q02543,16,0,-16
sp|Q15019|SEPT2_HUMAN,Q15019,16,0,-16
sp|Q3LXA3|TKFC_HUMAN,Q3LXA3,16,0,-16
sp|Q8IVT2|MISP_HUMAN,Q8IVT2,16,0,-16
sp|Q96KP4|CNDP2_HUMAN,Q96KP4,16,0,-16
sp|Q99714|HCD2_HUMAN,Q99714,16,0,-16
