ID	logFC	AveExpr	t	P.Value	adj.P.Val	B
S38A7	0.44504422008488126	13.452743570412503	4.629347072286383	4.955521998844689e-4	0.004181634651592234	-1.1962195020511661
NEB1	0.5657675483089321	12.245602970963475	4.629011774080674	4.958502079731418e-4	0.004181634651592234	-1.196842097203648
ODP2	0.4666183414212391	16.025873501899632	4.628517122592636	4.962901868869271e-4	0.004181634651592234	-1.1977606071356313
PRS23	0.4549867114965338	14.191472476214273	4.616853646291402	5.067829081537751e-4	0.004265422810294273	-1.2194256300975175
RM48	0.48444698770830324	14.522532397330904	4.6148345791361765	5.086225777785216e-4	0.00427627868906331	-1.223177488381622
FIL1L	0.4014535257659711	13.670519534289562	4.610014817401677	5.130421924705048e-4	0.004308778759009845	-1.232135325677901
MMP15	0.5582545610927179	13.466360485951213	4.6045870222137655	5.180671468007054e-4	0.004346287163612821	-1.242226077745097
VDAC2	0.3941139399588549	18.031817536497673	4.5996927046796285	5.226420428391604e-4	0.004379943068060507	-1.2513276250518919
MCM9	0.6655633798879584	11.120230937740406	4.597030770098959	5.251478441220485e-4	0.004396205364625588	-1.2562788228715194
SACS	0.2926559989175758	15.222201515980244	4.5849442817068855	5.366833117675194e-4	0.004463942369642779	-1.2787687296035184
WDHD1	0.6011327878550965	13.493333007936549	4.57961065461662	5.418571474600485e-4	0.004502161363030765	-1.2886979592645318
STIM1	0.22836472478436437	15.376767787444642	4.570280187976883	5.510329674770963e-4	0.004568639006470552	-1.3060746964429013
AN13A	0.5234313547598095	13.686835419150174	4.568160628219419	5.531397880144801e-4	0.004581222717133772	-1.3100233072530383
AP1S2	0.611335371005911	14.240920569435497	4.566732001931271	5.545645433033748e-4	0.004588136652415261	-1.3126850044889862
F219B	0.42159775666188243	13.258260720574748	4.565149579888305	5.56147124646053e-4	0.004591460921839018	-1.3156334791112085
OXA1L	0.36975636138112844	15.513561505548015	4.56198223248044	5.593288875906946e-4	0.004603204918143584	-1.3215358431987054
AGGF1	0.26296723691805296	12.741538950481562	4.550116720416399	5.714173335407664e-4	0.004687671522095507	-1.3436561401726888
ARCH	0.32243674741105277	12.905058295063984	4.546196694093068	5.754703311825973e-4	0.004715946012230832	-1.3509671201339577
PDE4B	0.5546594051281909	12.092297182280006	4.536412982896179	5.857165670847319e-4	0.004784787544346598	-1.3692206766448223
MYO19	0.6443990578409677	12.597306410026626	4.534886980519293	5.87331694262953e-4	0.004791686299352096	-1.372068600863229
PLXB3	0.39155579109271715	12.958663282602101	4.53049671448898	5.920041874925612e-4	0.0048209597551095796	-1.3802632712586513
MIC26	0.5813450165640052	16.298114887717144	4.527508669216292	5.952063580895515e-4	0.004841966367010922	-1.3858416983012614
ANO8	0.6138278109819199	12.215687776466963	4.523948723538561	5.990448787986743e-4	0.004864619729868124	-1.3924889521021004
VGFR2	0.37227441858652854	12.796162186938826	4.523766468091292	5.992420857931931e-4	0.004864619729868124	-1.3928292990097058
CHK1	0.3246778799570652	12.590922668549602	4.520967021439162	6.022796634185443e-4	0.004884180336189801	-1.3980574391847123
AL4A1	0.3657106490310004	16.403942753452387	4.510126979794196	6.141932544882407e-4	0.004975605145994841	-1.418309061663452
S12A4	0.33401006324040405	16.13353993214081	4.5071728080277955	6.174821849088699e-4	0.004996847365325191	-1.4238300853358794
RET1	1.03013902295401	16.33261327875695	4.50661929826172	6.181004456014958e-4	0.004996847365325191	-1.4248646280788586
SYDM	0.3535404552192495	15.022704414185416	4.5043988121247835	6.205871495441781e-4	0.005011740666671935	-1.4290151455278632
CAF1A	0.665561914777374	13.054461278407928	4.502963243642539	6.222003500193182e-4	0.005015232157981035	-1.4316987527112044
RAB3B	1.1323680111434358	12.87264610746088	4.502866474453127	6.223092493830138e-4	0.005015232157981035	-1.4318796571576708
NIPS2	0.23061000918076077	15.548975852033221	4.500670859325771	6.247854067387858e-4	0.0050252303135491045	-1.4359844753260758
SC5A6	0.3510188220619144	13.02698686364817	4.500620615166056	6.248421902021325e-4	0.0050252303135491045	-1.4360784148457402
MDHM	0.24407214353268417	18.75123098844888	4.4937506779510965	6.326568588639099e-4	0.005077577287290637	-1.4489251421459972
CH60	0.26017534977664936	18.650833429995078	4.484302434728107	6.435702462002932e-4	0.0051598410357728665	-1.4666006397570293
T22D2	0.4581547729838478	16.071855069975644	4.480024131004435	6.485760025804424e-4	0.005183942006236486	-1.474607155795951
TM163	0.6014794008261876	14.829981206190526	4.479248871098464	6.494873927022569e-4	0.0051858967690405055	-1.4760581805779402
NOTC1	0.586424708528399	13.31748210561365	4.475617505522744	6.537741049806074e-4	0.0052094274738055165	-1.4828556272390179
