"ProteinID","f_control_1_imputed_intensity","f_control_2_imputed_intensity","f_control_3_imputed_intensity","f_wvirus_1_imputed_intensity","f_wvirus_2_imputed_intensity","f_wvirus_3_imputed_intensity","m_control_1_imputed_intensity","m_control_2_imputed_intensity","m_control_3_imputed_intensity","m_wvirus_1_imputed_intensity","m_wvirus_2_imputed_intensity","m_wvirus_3_imputed_intensity"
"NCBP3","13.3427552860959","12.9211938101638","13.1617900805545","14.2117742490097","13.920203962795","13.9964293527473","13.7468501830981","13.8832924216194","13.713665746929","14.4259829508061","14.4577143226755","14.2158363099625"
"MPPE1","11.2477732697089","11.9235429078324","11.4965741969355","10.7415596799505","10.8050061279213","10.7224233304492","11.1153493286276","11.3616093717704","11.2472570264984","10.7857016934821","10.7999129660368","10.9930728304156"
"TP53I3","15.4148404624994","15.6313589729908","15.6838883126213","17.6498315462751","17.53846935472","17.6325053767243","15.3029458779022","15.2776905950671","15.3606105011945","17.2166037790775","17.0202095263983","17.6395809493821"
"TMEM35A","15.0034608145481","15.2308798205271","15.2457123861715","14.1394154538458","14.0610842453642","13.7313296390378","16.1682862458837","16.2120764499733","16.0867084778815","13.5029933649334","13.9554864509456","14.0528821627724"
"HIKESHI","15.8259649556551","15.5176601621384","16.0191715318904","16.1888167599215","16.0321017043415","15.8211262179404","15.7690965781343","15.7138133958486","15.9741703255905","16.1202236998446","16.2249757826291","16.5758006879852"
"ORMDL2","15.5965246452641","14.3544078051887","14.8497129603324","15.6190392473843","15.3461258597822","15.2081238348857","15.2423405030481","15.4903683102966","15.1004857688689","15.7422173171068","15.6329980361968","15.7681610586501"
"IFI44L","10.249917294014","10.1792795076309","9.61762100897541","13.9325100533799","13.6565477642188","14.0058350438139","9.50982701076902","10.5349135662172","10.2046289818631","14.4681276174818","14.2383375592874","13.9798360083802"
"KLHL12","11.2868869218827","11.6959372827913","11.5251684117757","11.0805377535217","10.8985008743616","10.2962840545371","10.6497501665791","10.8270965437395","10.9940351602004","10.4886134164524","9.70314396928316","10.3056969810801"
"PHLDA2","15.0805136038099","14.5408605846896","14.8812478206537","14.5081042513424","14.6283999710334","14.8323115151096","15.3838730109765","15.5086985185458","15.5964867921301","14.3524779901579","14.3218153799343","14.6881628704204"
"PDLIM3","12.3479839343841","12.5997919928246","12.4931073950435","14.177388391387","13.336924914182","13.6995724532873","10.2788675701031","10.5359751667322","10.7325575197264","13.728462639279","13.7649855923054","14.2676791662552"
"PLEKHO1","10.1395541894841","9.12173553230375","10.2855163588803","9.61988615223826","10.8891898392551","10.3318910403605","9.84993360134094","10.0620191459799","9.54108112323906","8.82207683643201","9.94751859558095","10.1106920972463"
"PARP10","12.986199365237","13.0609795797929","13.0807958803597","14.3665544475959","14.1061294125184","14.0972173752685","12.8244416954203","12.2320611079846","12.6259804641862","14.9861664713134","14.7739427701277","14.9583850558259"
"HSD17B12","17.8249028191057","17.3994281417827","17.7771975137519","17.8789669191138","17.092870672721","17.0558331714027","16.8999115174485","16.9855195532592","17.1286186768389","17.719067901123","17.8683282313217","17.2219174744989"
"GLE1","12.9769578574106","13.0680090385764","13.0627376288599","13.1603347155251","13.1369574786999","12.7251766413913","13.0263401546617","13.3531192507881","13.2173988632905","13.0619803444679","13.1630615352845","13.3841766545675"
"USP39","14.378498076249","13.9967735776347","14.1223427018589","14.2919620647118","14.281104151885","14.4215323323936","14.6370889812361","14.7106504058852","14.7649182288306","14.5206616464978","14.5888668599823","13.5710296930327"
"KLHL22","15.7342068329875","15.7000115712779","15.8689479172128","15.6127389391175","15.6974617384457","15.4908790736837","15.8630949067777","15.766202774625","15.7888916251066","15.7125726750291","15.5179553647311","15.5839495113205"
"AGK","16.2293032644724","15.7215718545721","15.7123254776349","16.4052096198236","16.3478652802209","16.0886888761327","15.9573083982331","16.0378943737659","16.0635425454995","16.5756854824695","16.6552372126374","16.4202102584143"
"SETMAR","12.541667770782","12.3717031466807","12.3301045734619","13.0149462745847","13.0771211355192","13.0700286761458","12.5615695821582","12.8107041702354","12.6206230638237","13.3225619524664","13.2850626022345","13.3381792499001"
"PLA1A","13.5881290073863","12.2230816024729","12.9802681288956","13.1013010959973","14.6646306098389","14.4369457268696","13.0477748870417","13.2821328011641","13.0697887508646","10.1979541618727","13.3206454423673","12.8310043410659"
