gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
ANXA6	-0.4527468526404787	18.750633493561747	-8.208227226923649	1.9169985205803948e-6	5.176561630053378e-5	4.633301167852968
NFIB	-0.7777351472911698	15.175971577142452	-8.17448697623829	2.0046446729760294e-6	5.375904007494683e-5	4.58604301001251
MK11	-0.9298741659213869	12.585991751994488	-8.10992098713574	2.184485735546122e-6	5.778484886170813e-5	4.4952317704034375
ENPP4	-0.7910217349733297	14.756527076290187	-8.074332134359143	2.290891758028455e-6	6.039411932944846e-5	4.44496371133906
BORG2	-0.6913915838762351	14.067585772174262	-7.997866999266476	2.538631281485402e-6	6.625146132923481e-5	4.336444568832793
GBP1	-0.7947089861981866	15.288247365459776	-7.9651890105050125	2.6530653354349842e-6	6.870968818679894e-5	4.289852709995252
MVP	-0.4960094428227728	18.450953459235677	-7.963443355153267	2.65933086591571e-6	6.870968818679894e-5	4.2873601349277095
SELN	-0.4931588272228862	14.637430081359675	-7.95693291751654	2.6828374530491196e-6	6.885949462826074e-5	4.278060791124098
GPM6A	-0.9219878012771138	14.269290963665142	-7.929778865423795	2.7832908813131027e-6	7.120280652622368e-5	4.239219085253621
TENA	-0.5103754359935087	18.4507926677054	-7.9052246849574095	2.877575864962601e-6	7.262534341301149e-5	4.204018984183
SFRP2	-5.336771799818171	9.059460883226397	-7.890875769601411	2.9342422843654755e-6	7.337492683443828e-5	4.183414766438235
AT1A2	-0.6909914910405719	13.155103731517844	-7.835242904754822	3.1654277546121138e-6	7.837278106332013e-5	4.103290834492958
TSP2	-5.07666984920148	8.910647151416896	-7.809472451964936	3.279015716751396e-6	8.069906718093546e-5	4.066046710437481
I17RD	-0.9232230273821768	12.919606546112723	-7.7697676646309075	3.4625885123822214e-6	8.468097754967465e-5	4.008504030883778
RDH10	-1.2318872862333232	13.476392500534043	-7.757337846383051	3.522279613894934e-6	8.587074782840409e-5	3.990449896055164
GCR	-0.6152793114618599	11.269131805552682	-7.754800892173395	3.5345966318377835e-6	8.590174376813264e-5	3.9867626546374115
RLBP1	-6.290562430748732	9.699334315845276	-7.691467281017317	3.857409897731733e-6	9.174029594697152e-5	3.894453776266708
NHS	-0.4984807170792035	13.328495737801216	-7.682686430916642	3.904584052399083e-6	9.257911638874289e-5	3.8816162600703024
JUNB	-0.6214459712568339	11.9774004375937	-7.674045038347808	3.951608235724182e-6	9.340929255084183e-5	3.8689732358921685
PXDN	-0.453616684770853	15.458103106620179	-7.619921848243456	4.260168652010463e-6	9.86051535913255e-5	3.789574400687938
NHSL1	-0.6483629426402147	12.741045525084235	-7.575231534901991	4.534253075712556e-6	1.0415723366926217e-4	3.7237365337688626
NAKD2	-0.816371059116501	14.489701879682736	-7.574290595787497	4.5402214496438055e-6	1.0415723366926217e-4	3.722347637861567
P5I11	-0.6307810041152722	12.727632151229539	-7.564382259397025	4.603579287803077e-6	1.0530010623895451e-4	3.7077154212746883
AACT	-0.9056522164035847	13.266397759055089	-7.5534829901165486	4.674360308943548e-6	1.0660557220719639e-4	3.6916055289357566
FMNL3	-0.4997511034106755	14.304278732321086	-7.53714142167567	4.782659361505955e-6	1.0843948062516563e-4	3.6674234170954083
ITA2	-0.5481484712929146	15.714850455805504	-7.515644142892365	4.929204122465717e-6	1.1079312271796498e-4	3.6355604785135505
SPTC3	-5.177356019750253	9.0035996011458	-7.5031690634083095	5.016426871776755e-6	1.1210560856841329e-4	3.6170432589364463
ITPI2	-0.39056875635886845	14.604708148009266	-7.470104328936239	5.255636563836786e-6	1.1711485832939453e-4	3.567868480199527
CD34	-1.5402025131283978	11.632589515356043	-7.464497848928479	5.297384750379408e-6	1.1737253904188222e-4	3.559516587040042
K1755	-0.9137752966342971	12.179884907363778	-7.457115023724349	5.352898517316968e-6	1.179305715840625e-4	3.5485123933741516
CCNY	-0.5315844861680761	14.4881412570564	-7.452224140082991	5.390014674686603e-6	1.1841283651140595e-4	3.5412186466895896
ASAP2	-0.7758705051819321	12.91905108687089	-7.446248414283816	5.435734967495071e-6	1.1887723637386676e-4	3.5323029432237334
HECAM	-0.9217292425480978	12.824910256811252	-7.42401390937988	5.6095025555752085e-6	1.2185782506901786e-4	3.4990893494727437
PSB9	-0.722208016140643	13.535017207160024	-7.419988579041704	5.641587321575625e-6	1.222134389969182e-4	3.493069618531667
UBS3A	-0.7217307172709847	14.02691561100585	-7.4035483764509165	5.774665336136929e-6	1.247488119976025e-4	3.46846240356901
NAMPT	-0.5498941339386487	16.00122324600212	-7.3886378692425785	5.898245893046489e-6	1.2706553548538102e-4	3.4461148811997475
PTPRA	-0.5103548944251114	14.601289699325951	-7.386117369906457	5.919412229908395e-6	1.271692511381149e-4	3.442334401315817
CYBR1	-0.5758240845891462	14.42254668138558	-7.383579275000713	5.940807859209308e-6	1.272773077715449e-4	3.4385267071666306
AGRE5	-0.9890084763479715	12.362312702717116	-7.378564251166672	5.983325329133063e-6	1.2751556742978296e-4	3.431000652991658
TIM9	-1.8338565988784254	11.571828633529327	-7.37281498592196	6.03246561466757e-6	1.2818165323844177e-4	3.422368752996391
ARX	-1.5994629511069816	11.971988828008577	-7.339100608008122	6.329390153008776e-6	1.3375996527160123e-4	3.3716648345989757
P85A	-0.579737073573606	13.17711453944527	-7.32162325933769	6.489386596389828e-6	1.3676953810331624e-4	3.3453226651261083
LAMA4	-0.4814692074358311	14.273662069622008	-7.2889418348059865	6.800203746438952e-6	1.4213576737258984e-4	3.2959589822594957
IF2B3	-0.4846976483109818	18.015721582299243	-7.280547208479361	6.8825660808509875e-6	1.43116888798872e-4	3.2832570513167685
TRI25	-0.48633674139477534	15.935970761610315	-7.244842050738784	7.244895700653055e-6	1.4905702080417673e-4	3.2291296205628335
ATS1	-0.8572639112042758	11.722897718883836	-7.214999325231107	7.563266754757422e-6	1.547882251361802e-4	3.183762582491882
LIPB1	-0.7426710243273735	14.590062089837406	-7.195165866334086	7.783045932460541e-6	1.584522204626849e-4	3.1535476689316866
UBS3B	-0.7537231813230449	14.595585464548913	-7.180975901207677	7.94444165185112e-6	1.6089563210012022e-4	3.131898815622762
ACSL1	-0.6068367432458197	14.880796318249622	-7.167931431219222	8.095943381113375e-6	0.00016311438257750961	3.111974437215986
GBP2	-0.6103394700315213	14.016478349624947	-7.141999746636626	8.40629932021357e-6	1.6849430364252818e-4	3.0722999412984855
TBCD4	-0.8417133345905886	12.971550884320779	-7.1153167866276625	8.738858460742395e-6	0.00017342974310880435	3.0313842889177014
MPI	-0.5753268307841176	13.988973907941023	-7.100265773654403	8.932576252023497e-6	1.7522965755479295e-4	3.0082639534279885
SPS2L	-0.3627556034202105	15.549047232034718	-7.059034113236256	9.486958286455561e-6	1.8415946661046398e-4	2.944774513253053
3BP1	-0.529627087814818	13.19211521815706	-7.0584056442838445	9.49568549708063e-6	1.8415946661046398e-4	2.943805055003182
LPIN1	-0.656700102002648	14.371529902714435	-7.054483612973614	9.550341349274445e-6	0.00018475871809280439	2.9377538683087767
GSTO1	-0.5876015405811134	18.665299718815014	-7.025366558844041	9.966685745856167e-6	1.9167920585728973e-4	2.8927667324789645
PAMR1	-0.7913764824579299	12.068735403750036	-7.024319722082329	9.98200827725374e-6	1.9167920585728973e-4	2.8911472443579598
LIPA2	-0.4497220133265754	12.292399212504133	-7.013495567781345	1.0141913568774868e-5	1.937927808952387e-4	2.874393482350614
CAH12	-0.5427703238982735	15.072519249480717	-6.9874401322224715	1.0538072903996941e-5	2.0037797793247974e-4	2.8340011713910602
CK2N1	-5.181758280313462	9.068752968736442	-6.985075468776683	1.0574829694645779e-5	2.0058646472014688e-4	2.8303309269591477
CSPG2	-0.48002712846218865	16.19278019741779	-6.971824738786072	1.0783332010716378e-5	2.0404373004219287e-4	2.8097505148325954
TIMP3	-0.9292643067021211	12.429103175094653	-6.940699814567342	1.1290418951195705e-5	2.125611199744715e-4	2.761317386270713
UBTD1	-0.5430729865519837	13.930937709174874	-6.939201628871577	1.1315456303128609e-5	2.125611199744715e-4	2.7589828411597157
ZMAT3	-0.5607947260497766	11.640280574914902	-6.934019154515346	1.1402519527031332e-5	2.1324734419031095e-4	2.750904965879748
PTN13	-0.4423646671518207	12.30437453811369	-6.9239168754884	1.1574280640024487e-5	2.1585894613302263e-4	2.735148401079252
PAK3	-0.770040075971023	14.295452546813552	-6.917418422374917	1.1686216413652896e-5	2.1742513169612098e-4	2.7250055839254763
DOPD	-0.7711891306888324	17.451759469521004	-6.913408330690967	1.1755862146585238e-5	2.18198901942705e-4	2.718743817656378
SYUA	-0.6517469778295647	14.250123754331561	-6.910906601064049	1.179953392635123e-5	2.1848519697247564e-4	2.714836280716762
HLAB	-0.5431463528033407	15.434688341559147	-6.909311181678597	1.182747433784393e-5	2.1848519697247564e-4	2.712343906843657
IRS1	-0.4338564049873658	13.250851746238176	-6.897073967479073	1.2044128821411643e-5	2.2143543698373131e-4	2.69321561765957
MTO1	-0.8541690605572629	11.4280258559107	-6.88884580297405	1.2192166700073378e-5	2.2362849157186475e-4	2.680342786988957
