"ProteinID","female_1_imputed_intensity","female_2_imputed_intensity","female_3_imputed_intensity","female_4_imputed_intensity","female_5_imputed_intensity","female_6_imputed_intensity","male_1_imputed_intensity","male_2_imputed_intensity","male_3_imputed_intensity","male_4_imputed_intensity","male_5_imputed_intensity","male_6_imputed_intensity"
"VPS18","13.8984596804341","14.1059085085712","14.0384389253378","13.9683157954948","13.9457730142208","14.1694396382715","14.0888793150744","14.3120817081623","14.1918997190035","14.0043170407723","14.0349450813434","14.0202768182533"
"RCC2","15.3060937394657","15.3333056232175","15.4005959647437","15.3647365645368","15.2460948034173","15.3977013690801","15.1846196880824","15.1706488285749","15.1679864870787","15.1254013618685","15.2575425351539","15.0599358851123"
"RELCH","14.153124479707","14.1939872939192","14.2807852665915","14.1513257906315","14.1908355115806","14.1352122722108","14.3686087670028","14.2353336559572","14.2045558613818","14.3058836206984","14.3454260386756","14.3233996257209"
"DIP2B","14.4906628830329","14.638701756289","14.537588492691","14.5532752958675","14.5038443677185","14.6958970579466","14.7419356597503","14.6265132864694","14.4804683604103","14.5196178259326","14.6782590101033","14.5589946156992"
"JCAD","12.7001926007722","12.5675663620679","12.773238130988","12.5690462382332","12.6139966010915","12.3591181058285","12.131085259579","12.0042485613716","12.2572876520582","12.0758467960005","11.9777378492428","12.1865073668115"
"SLAIN2","15.0127249165018","14.8944767499154","14.9786568396124","15.2189415686187","15.0828101805229","14.8771067577987","15.2291154644179","14.953159728186","15.0516975184303","14.9995772735114","15.0195516374641","15.1214768574231"
"TENM3","14.5818890408355","14.6083183601585","14.8638329739554","14.8070378888039","14.7438929625368","14.7830749677524","14.3291306056371","14.6111170382869","14.3832115214919","14.4537464802467","14.4254388480331","14.4990049832631"
"USP36","12.1736396632183","11.6368647476604","12.1200110206639","11.8735709964247","11.8036347068234","11.5857277901941","11.5916392160301","11.8472570538944","11.4710705781659","11.5170689603588","11.6439102898244","12.0604595156584"
"BCCIP","14.3597289737736","14.6160261167319","14.6939442611591","14.7582284207474","14.645883554519","14.2970452179567","14.6674664049574","14.4744411134435","14.5969293205496","14.7525217728606","14.3177235059201","14.439421854677"
"STK26","13.8771403170409","14.2055870917485","14.6536176383998","14.4181490911108","14.3899404934796","14.1363343185415","14.9051331195016","15.2630747638647","15.0869945192109","15.3365205069107","14.7971396702836","14.7736337602437"
"ARMCX1","14.7663011402549","14.9653108226702","14.9449041880004","14.3212093861405","14.5610134155228","14.8645295565282","14.6221548000398","15.0359460266358","15.201580261407","14.8559342361134","15.1364705076269","14.8107774611517"
"COPZ2","12.6494717571816","12.8914780472871","12.8472237711803","13.353298476983","12.9602481541852","12.7446951101528","12.8400009088522","12.5541427367035","12.3097463365147","12.005936771872","12.1678007229161","12.3421580262443"
"PTGFRN","16.4751966896104","16.6153853741814","16.6385773255667","16.5603358199193","16.5542710688538","16.5662830097719","16.3578578026628","16.3515880274517","16.4165551012278","16.4199470145119","16.3603687350235","16.3311776289586"
"CTTNBP2NL","15.5496493187104","15.4391685879327","15.3568473916415","15.5282709540339","15.4847505311731","15.3909279989417","15.5719599804702","15.4728938784439","15.6101943629927","15.7126881984185","15.5714504705701","15.6490428117577"
"CFAP97","12.0128828880286","12.2352214488779","12.5421927438929","12.4984303952865","12.4135168668467","11.839739186898","12.5193782546746","12.1739987402584","11.9878040332725","11.8969340321507","12.0465988282997","12.2389241593381"
"TMEM181","13.0615922719416","13.5270248712243","13.5272448464114","12.8668674203155","13.3977147369602","13.5450972048376","13.2509956112442","13.5886326619443","13.3324002541713","13.46135154312","13.0065452365015","13.1271270251118"
"IBTK","11.4298303859721","11.397765533775","11.5986899374499","11.8526855523486","11.6581400604373","11.8516514532237","11.7044743110921","11.1253553482052","11.5276920258825","11.9482139005833","11.9888053796355","11.964672981574"
"HEATR5B","12.826927780424","13.1430850134423","13.1112400205325","13.0039623174069","12.998740261992","13.3148805889331","13.23633565218","13.3738847046818","13.1227099218842","13.1655272903822","13.3707555082513","13.2152721019482"
"KIF17","12.6762347867272","10.5404604107262","12.5994200851254","11.6282951566321","11.9243448877711","12.5662158088879","12.0514910615104","12.0861793592388","9.90271377173552","13.2922784893627","11.2068446506513","9.58350744585225"
"ZNFX1","12.3641237088737","12.9490187065974","13.0092652826131","13.0935397095982","13.2137755790029","13.2442196178765","12.6745939418709","12.9100055556104","13.0066188661099","12.8186440858235","12.8472218133497","12.9493452458353"
"CHPF2","14.2802052945067","14.589112727012","14.3930015745886","13.9666135959065","14.0122578829368","14.3790737117981","14.0250703334083","14.418880385235","14.2820603850756","14.1074949932418","14.0816082620983","13.9361318028622"
"PCDH10","11.6471345932212","12.1592911154684","11.9164579836299","11.9220937583815","12.1683524587113","11.516187552316","11.3467851825001","11.128928740292","11.4813705949352","9.99346989082431","11.3180399818414","11.2234828862268"
"RRBP1","18.2458312062677","18.2526746709903","18.4857507078508","18.3976119681978","18.4668929734113","18.1940065379355","18.1165521053458","18.1540764016475","18.1181806843106","18.2093629278091","18.0034081071019","18.1766455403579"
"SIPA1L2","11.4175941143449","11.5421080837302","11.7047466290294","11.7453129748112","11.3588324878128","11.2281212193237","10.9965299808251","11.9283999346823","10.6317863883429","11.0951200620609","11.0507465517307","10.8686682475883"
"ANKIB1","13.0443736263856","13.2549046013345","13.1522056060006","13.1844709226065","13.1293522517644","13.2482759842402","13.369488294913","13.2050142769938","13.2045161251689","13.2100685731178","13.3994515075085","13.3763017802564"
"IFT80","11.0341386650528","10.7132834002307","10.863543599826","10.8556315944911","11.0490248893745","11.2476071426272","10.9210673261693","10.46072208943","9.72430578989637","10.4979615813623","10.948338026936","10.8813740201158"
"USP35","10.6722333267363","11.3818843188235","11.0306697700803","10.6236248109577","9.57646923007021","11.4796361958559","9.63689834006068","9.63498162289761","10.0023321461206","9.80077150174023","10.0552364198794","10.3117029108274"
"CPSF2","13.5813536011884","13.8715202623291","13.8093561583589","13.4671724728048","13.524884473545","13.8716838893967","13.6540317958385","13.6055605400587","13.4309490460378","13.5402007044002","13.6046806290851","13.5885155486669"
"KLHL9","12.9818562200749","13.6484699370614","13.6311997966193","13.6999519458128","13.3377891289742","13.5729370250173","13.6783360462823","13.6826983795683","13.4836772436801","13.5039871876009","13.6276250759675","13.5979361490957"
"LARS1","16.8663371666826","17.1467774759414","17.0851093330207","17.1085550843199","17.070005608141","17.2441129324426","16.9545257693336","17.0025623285036","16.9456610107462","17.0158505829684","17.0570398187806","16.9705328464618"
"TXNDC16","10.9649544964266","11.5749908050377","11.39565730016","11.0904697402375","11.0614792050911","11.4437879300333","10.458396359504","11.1940919782683","11.1859903977423","10.4557073676272","11.4485190058697","10.7957880483935"
"RCOR3","12.9136841709104","12.4356364066846","12.9680277335882","13.0687111118483","13.1274817444265","12.2698367452535","13.1300090122187","12.8874700567467","13.0687379786784","13.1502375651452","13.3104849782098","13.1819442169641"
"MYEF2","16.4557430013036","16.3706448417722","16.8108728341662","16.8359886958903","16.8178205873989","16.4303643407123","16.8523832038139","16.9886735931714","16.8509193312934","16.9341976480872","16.4234967607853","16.9183857685462"
"KLHL42","13.5642090451898","13.573907492838","13.5793866561919","13.7687115897042","13.6237329158588","13.5834706630078","13.5745935273376","13.5796341440381","13.7561601524437","13.7348260301819","13.7424673406473","13.6367945259405"
"EIF2AK4","15.0424160599677","15.1004529162266","15.0740996400498","15.0882002438642","15.128763649865","15.2078913268766","15.0138068058689","14.9567073872715","14.8352954655089","14.9347827731942","15.0730453075019","14.9637179483099"
"WDR35","12.0378935160422","12.275138032637","12.0965273942862","12.1486926524791","12.048330198885","12.270307008166","11.9899620989633","11.9966076538396","11.5554519083266","11.8593251222457","12.0888611002629","11.9909796706821"
"CGN","12.3498147448423","11.8700602726435","11.816451711352","12.0434682296152","11.8748891597218","11.5546847723612","12.3604493282489","12.1035861531268","12.2477554712937","12.161094082619","12.5164190356164","12.1661254138765"
"RBM27","13.8040503312848","13.7019453520603","13.6907400872866","13.7434564825938","13.8184523610402","13.7164229443037","13.5508429618468","13.8786544646481","13.6097328039649","13.6426722433295","13.7430461762267","13.6617001723242"
"KANSL3","10.6899892383722","10.1147053772241","10.1875005418943","10.6456134037709","11.0074828566499","10.7901203846413","11.0154847461159","11.0099965255452","10.4439588289559","10.1877850641908","10.4251529479604","10.6596124305539"
"STARD9","15.6548541614882","15.6281265261803","15.7928462037499","15.6480654179184","15.6369332671729","15.5750280442139","15.684745881402","15.7212807961721","15.4618822713075","15.963819529622","15.5160416248729","15.9772351963978"
"FRMD4A","13.8451861905078","13.6299143725492","13.7908880827135","13.7874026703573","13.7094608117232","13.6683088546402","13.4171009154728","13.3964040956219","13.2657468870825","13.2335672522956","13.5617771945661","13.4367635864741"
"ANKFY1","15.0450685172727","15.4152400118344","15.4497257885296","15.3320365483617","15.3135278840709","15.5166603297302","15.545772945884","15.489816608068","15.5728778290285","15.6247897453714","15.3036987096847","15.6209586279677"
"RERE","12.1800210189089","12.1366707623418","12.9835316338105","13.2422630839994","12.9157188215407","12.3925133111497","13.1035189489868","12.655816908292","13.0442677413884","12.9945620467941","12.4276952071791","13.0863601770905"
"SUCLA2","15.7165890660522","15.9059228388751","15.7363755042181","15.656128740738","15.6890179028247","15.8911571338039","16.3169390810849","16.2863718539272","16.0639258819216","16.2904742985023","16.2539139466801","16.3127588974584"
"GMPR2","15.5119718822894","15.9021324778524","15.9376266926853","15.8140040904182","15.8854103985707","16.0157765520449","15.8515196986921","15.831282499232","15.783300103436","15.743372326698","15.8082804617722","15.8206202614495"
"STX18","14.1735366072151","14.1314148907292","14.0909559510763","13.8645343927314","13.8862586250708","14.0478822185705","13.9829401141544","14.048665667185","14.1096021550694","13.9403411292314","14.0505544126431","14.0653067334478"
"DPM3","17.1108299130173","16.9063856579169","17.085078203668","16.5908048528244","16.1330277910983","16.8622862293385","17.1669084080866","16.9415864066164","17.0969827528932","17.2206900666991","17.0445542106889","16.8021881671772"
"IMPACT","13.3686701468178","13.470112295141","13.7317645004173","13.6279328047134","13.6028148326271","13.5611805267436","13.8129193242901","13.614571824595","13.8049275916992","13.687233506666","13.7220283508395","13.7200732113918"
"ZNF219","11.262447252254","11.6681359708786","11.2486747687977","11.1286516997539","10.7243433117118","11.2623474123764","11.6284546537852","11.6271964258145","11.7238059744689","11.2916484481763","11.496853777388","11.5053054304396"
"UVRAG","12.0787612548681","12.7664295231981","12.2276791125814","12.1892500839072","12.5735927540748","12.7622138390694","12.2827148944578","12.2092888597718","12.4540396262772","11.8912444901069","12.7601855940158","12.1745574737203"
"ATXN10","15.5547956727021","15.7705090446984","16.0178479832888","16.0858334197411","16.1643334419655","15.7297083604013","15.9025541211817","15.7365684109189","15.7697500480898","15.9202016362259","15.4849707553757","15.775437957705"
"MBD2","13.4921911883613","13.2874454562757","13.2986783604926","13.1310177160952","12.8725652312808","13.084011098455","13.1817190960651","13.0903341011817","13.0304705797954","12.9873617282549","13.3412964253658","13.1917686633757"
"NCDN","15.128115185136","15.4848921077338","15.2529536470332","15.2986282476502","15.1642116453179","15.3229350939049","15.0896035814033","15.0885563820409","15.0122753448561","15.049546538632","15.2483427030896","14.9503280659208"
"TFIP11","15.1784314366809","15.0129081967761","15.1097368107687","14.986659801436","14.9790946738394","15.0841273972648","15.0683374431265","15.1385557988032","15.0709720512049","15.1911363454382","15.227119517978","15.1394154538458"
"NFKBIL1","10.4127776756397","12.6040713236689","12.2134232302397","12.2702485987504","11.9510078075278","12.2946063907883","11.8603925388901","10.2107493591394","11.6514060410296","11.7618503778191","12.3342900477393","11.9498777657975"
"EPS15L1","15.5865466228065","15.4582527995959","15.6432474243839","15.8600806437883","15.7699385436992","15.3716099081537","15.892125353692","15.7023729255072","15.8650493555948","15.9459581437563","15.7699953457661","15.8927135621381"
"ORC3","11.6329997396265","11.6729556470835","11.716858035548","11.6395487311835","11.5984573287401","11.6671559047091","11.4580015353774","11.7846471133203","11.4485603021261","11.9176331433752","11.812325739804","11.5573248821914"
"SAE1","14.4777709127335","14.7031627911885","15.2507129258939","15.3327813474536","15.3753890632744","15.0896656444592","15.3223718244323","15.1259300100667","15.1360218361716","15.2047812672603","14.7359526047655","15.3217061789252"
"COPG2","15.7884328645034","16.1753292780122","16.0685536789605","15.9788377974182","15.9590986069654","16.2081143066052","16.0501866414822","16.0376756377187","15.9738901551601","16.085385317238","16.3225777953382","16.1140147614804"
"PI4KB","13.5651973026131","13.8513293653458","13.8581073031458","13.8222222636765","13.918788715978","13.9729618419865","13.6786881592966","13.6898778873855","13.5284907393208","13.7214303380974","13.7430251317286","13.6174789443625"
"MRC2","15.7305205542068","16.1412130754843","16.8098434764141","16.7044440503704","16.6163621772892","16.2784095280044","17.0420975226533","16.7071973375302","16.8778352972652","17.2332919926006","16.3334978099379","16.9548210823694"
"XPR1","13.1924037867443","13.4749353715496","13.5330376592122","13.1357397426782","13.3043370600759","13.4955927402706","13.3311828784917","13.7400758680165","13.8512024624965","13.4927294677096","13.2868999135108","13.3887572842166"
"COMMD3","13.5567215806601","13.2505382549038","12.9637974080788","13.2631532753449","13.1762417284863","13.0440252013025","13.2402517110025","12.5473331807698","12.5042156700087","12.9539745080617","13.3017533878913","13.173202405291"
"STOML1","10.3532681479613","10.2796642927293","11.6596168899986","11.7139964595255","11.0200354212922","11.2284880349933","11.2265386338082","11.7113357264813","11.7054034385456","9.92044493113859","10.9578638272216","11.0273531339301"
"GNG12","18.6062569968564","18.4450431445095","18.2421832412538","18.2523512868812","18.0995173286182","18.2422716449639","17.8173709356791","17.3771088330749","17.4700153510969","17.719636147923","17.9010731148426","17.7329093619312"
"HECA","10.5523136628117","10.7481173577576","10.332517739531","11.156651949891","11.3368524081152","11.1312203370605","11.1554254317472","10.9261773716072","9.98023956293957","11.286159203927","11.1130974967236","10.7536931109505"
"RABL2A","12.9646170329767","13.3931222735895","13.041251881847","13.0319974984968","13.2065733275871","13.2051899643651","13.4087012479442","13.000815160049","13.2935434944118","13.2857677593334","13.0879832049345","13.2919332953928"
"MTRR","12.3295244761292","12.5042876841371","12.3889993832507","12.1432333240928","12.1238950650288","12.531205986935","11.4732237562128","11.5125083884681","11.3866600831638","11.6156434293978","11.9304379768486","11.962212804109"
"UXT","13.8539235449191","14.0237716766229","14.1428569361333","14.248498368407","14.2294947953466","14.063597314082","14.2127851384884","14.0328894636484","14.1164820504377","14.2434417856655","14.123628371456","14.028519080771"
"ASH2L","13.1001876037253","12.9841371556914","12.7362666194592","12.974099055393","12.8849069452561","12.8522856585102","12.9097412328756","12.7470537613477","12.6736690418134","12.7637787914897","12.8932825678674","12.8707981565826"
