"polyIC10ugYES"	"polyIC1ugYES"	"lipoYES"	"AveExpr"	"F"	"P.Value"	"adj.P.Val"
"sp|P67936|TPM4_HUMAN"	-0.539549045655791	-0.0517198413763349	0.155920714690322	32.5727814047304	17.4447089829268	0.000204469111457707	0.0084661264527894
"sp|P00352|AL1A1_HUMAN"	0.350109894177483	0.605035049116882	0.240186680570758	25.8834232338111	17.3168517383318	0.00021109466075852	0.00862392054085473
"sp|Q9P0J1|PDP1_HUMAN"	0.452092325517171	0.402019129243024	-0.147854280480388	24.8818060966236	17.1075000505921	0.000222502685170144	0.00894686477222314
"sp|Q4VC31|MIX23_HUMAN"	-0.583715445721942	-0.0558871498317331	-0.036253253542134	26.2054789827679	17.035784308857	0.000226578062078911	0.00894686477222314
"sp|P20930|FILA_HUMAN"	-0.66681413626922	-0.394702736497331	0.140527740462653	26.871148083675	17.0129720242708	0.000227892961573505	0.00894686477222314
"sp|Q15631|TSN_HUMAN"	-0.299845293400791	0.337508706395017	0.117783387491349	26.3932793401875	16.9474296488813	0.000231721574594639	0.00894686477222314
"sp|P24821|TENA_HUMAN"	0.342264981952239	-0.891037553136942	-0.472318587884558	27.5448714019971	16.9157481629716	0.000233599602407915	0.00894686477222314
"sp|P62993|GRB2_HUMAN"	-0.422655693119	-0.161991943688784	-0.109470724284253	26.8227214163238	16.6701194306192	0.000248790398943073	0.00941103435014293
"sp|P49748|ACADV_HUMAN"	0.151425917523391	-0.0864288094457126	-0.425540640140684	25.3812535575127	16.4840764502191	0.000261081212054594	0.00975552236262533
"sp|P20810|ICAL_HUMAN"	-0.417687368965846	0.111147040243583	0.150388190533911	27.921451295671	16.2756794136407	0.000275715820050923	0.0100256527966041
"sp|P17568|NDUB7_HUMAN"	-1.10672192731204	-0.218528554324767	-0.242395972525605	25.1427146983273	18.1436254792065	0.000275795464315567	0.0100256527966041
