Protein,Protein ID,Control,Treatment,LogFC
sp|O43242|PSMD3_HUMAN,O43242,10,20,1
sp|O43251|RFOX2_HUMAN,O43251,2,0,-Inf
sp|O43291|SPIT2_HUMAN,O43291,10,2,-2.321928094887362
sp|O43324|MCA3_HUMAN,O43324,4,1,-2
sp|O43390|HNRPR_HUMAN,O43390,36,24,-0.5849625007211563
sp|O43396|TXNL1_HUMAN,O43396,10,7,-0.5145731728297583
sp|O43399|TPD54_HUMAN,O43399,5,3,-0.7369655941662062
sp|O43432|IF4G3_HUMAN,O43432,3,0,-Inf
sp|O43447|PPIH_HUMAN,O43447,4,0,-Inf
sp|O43464|HTRA2_HUMAN,O43464,3,1,-1.5849625007211563
sp|O43488|ARK72_HUMAN,O43488,7,5,-0.4854268271702417
sp|O43491|E41L2_HUMAN,O43491,3,4,0.41503749927884376
sp|O43493|TGON2_HUMAN,O43493,3,2,-0.5849625007211563
sp|O43570|CAH12_HUMAN,O43570,9,10,0.15200309344505006
sp|O43583|DENR_HUMAN,O43583,3,3,0
sp|O43592|XPOT_HUMAN,O43592,5,0,-Inf
sp|O43598|DNPH1_HUMAN,O43598,3,1,-1.5849625007211563
sp|O43617|TPPC3_HUMAN,O43617,3,2,-0.5849625007211563
sp|O43633|CHM2A_HUMAN,O43633,3,3,0
sp|O43660|PLRG1_HUMAN,O43660,5,0,-Inf
sp|O43663|PRC1_HUMAN,O43663,3,0,-Inf
sp|O43665|RGS10_HUMAN,O43665,3,0,-Inf
sp|O43670|ZN207_HUMAN,O43670,6,2,-1.5849625007211563
sp|O43674|NDUB5_HUMAN,O43674,2,3,0.5849625007211562
sp|O43678|NDUA2_HUMAN,O43678,3,1,-1.5849625007211563
sp|O43681|GET3_HUMAN,O43681,3,7,1.222392421336448
sp|O43684|BUB3_HUMAN,O43684,8,9,0.16992500144231237
sp|O43707|ACTN4_HUMAN,O43707,112,90,-0.31550182572792934
sp|O43747|AP1G1_HUMAN,O43747,3,8,1.4150374992788437
sp|O43760|SNG2_HUMAN,O43760,6,5,-0.2630344058337938
sp|O43765|SGTA_HUMAN,O43765,5,2,-1.3219280948873622
sp|O43776|SYNC_HUMAN,O43776,17,15,-0.18057224564182092
sp|O43795|MYO1B_HUMAN,O43795,19,34,0.8395353278067539
sp|O43809|CPSF5_HUMAN,O43809,8,5,-0.6780719051126377
sp|O43813|LANC1_HUMAN,O43813,3,0,-Inf
sp|O43819|SCO2_HUMAN,O43819,2,2,0
sp|O43837|IDH3B_HUMAN,O43837,7,11,0.6520766965796931
sp|O43847|NRDC_HUMAN,O43847,6,0,-Inf
sp|O43852|CALU_HUMAN,O43852,13,11,-0.24100809950379493
sp|O43865|SAHH2_HUMAN,O43865,12,9,-0.4150374992788438
sp|O43920|NDUS5_HUMAN,O43920,4,4,0
sp|O60218|AK1BA_HUMAN,O60218,155,116,-0.4181434101466654
sp|O60232|ZNRD2_HUMAN,O60232,3,1,-1.5849625007211563
sp|O60256|KPRB_HUMAN,O60256,7,0,-Inf
sp|O60271|JIP4_HUMAN,O60271,16,2,-3
sp|O60313|OPA1_HUMAN,O60313,5,10,1
sp|O60443|GSDME_HUMAN,O60443,3,1,-1.5849625007211563
sp|O60488|ACSL4_HUMAN,O60488,7,6,-0.22239242133644802
sp|O60493|SNX3_HUMAN,O60493,9,1,-3.1699250014423126
sp|O60502|OGA_HUMAN,O60502,2,0,-Inf
sp|O60506|HNRPQ_HUMAN,O60506,21,11,-0.9328858041414629
sp|O60568|PLOD3_HUMAN,O60568,2,12,2.584962500721156
sp|O60573|IF4E2_HUMAN,O60573,2,1,-1
sp|O60610|DIAP1_HUMAN,O60610,9,4,-1.1699250014423124
sp|O60656|UD19_HUMAN,O60656,2,2,0
sp|O60664|PLIN3_HUMAN,O60664,17,13,-0.38702312310924736
sp|O60678|ANM3_HUMAN,O60678,3,0,-Inf
sp|O60701|UGDH_HUMAN,O60701,58,44,-0.39854937649027494
sp|O60716|CTND1_HUMAN,O60716,25,27,0.11103131238874395
sp|O60749|SNX2_HUMAN,O60749,12,3,-2
sp|O60762|DPM1_HUMAN,O60762,3,2,-0.5849625007211563
sp|O60763|USO1_HUMAN,O60763,19,10,-0.9259994185562233
sp|O60826|CCD22_HUMAN,O60826,2,1,-1
sp|O60830|TI17B_HUMAN,O60830,3,2,-0.5849625007211563
sp|O60841|IF2P_HUMAN,O60841,8,6,-0.4150374992788438
sp|O60869|EDF1_HUMAN,O60869,2,2,0
sp|O60884|DNJA2_HUMAN,O60884,10,10,0
sp|O60925|PFD1_HUMAN,O60925,6,1,-2.584962500721156
sp|O60934|NBN_HUMAN,O60934,4,0,-Inf
sp|O60936|NOL3_HUMAN,O60936,4,0,-Inf
sp|O75083|WDR1_HUMAN,O75083,37,28,-0.4020984435713456
sp|O75116|ROCK2_HUMAN,O75116,14,3,-2.222392421336448
sp|O75122|CLAP2_HUMAN,O75122,2,0,-Inf
sp|O75131|CPNE3_HUMAN,O75131,15,17,0.18057224564182084
sp|O75153|CLU_HUMAN,O75153,12,10,-0.2630344058337938
sp|O75208|COQ9_HUMAN,O75208,2,0,-Inf
sp|O75223|GGCT_HUMAN,O75223,3,1,-1.5849625007211563
sp|O75306|NDUS2_HUMAN,O75306,9,9,0
sp|O75312|ZPR1_HUMAN,O75312,3,0,-Inf
sp|O75323|NIPS2_HUMAN,O75323,7,7,0
sp|O75340|PDCD6_HUMAN,O75340,9,7,-0.36257007938470825
sp|O75347|TBCA_HUMAN,O75347,18,10,-0.84799690655495
sp|O75348|VATG1_HUMAN,O75348,4,1,-2
sp|O75351|VPS4B_HUMAN,O75351,6,2,-1.5849625007211563
sp|O75352|MPU1_HUMAN,O75352,4,4,0
sp|O75367|H2AY_HUMAN,O75367,4,26,2.700439718141092
sp|O75368|SH3L1_HUMAN,O75368,2,2,0
sp|O75369|FLNB_HUMAN,O75369,129,98,-0.39651741130804585
sp|O75380|NDUS6_HUMAN,O75380,3,3,0
sp|O75390|CISY_HUMAN,O75390,18,19,0.07800251200127316
sp|O75391|SPAG7_HUMAN,O75391,2,0,-Inf
sp|O75396|SC22B_HUMAN,O75396,5,6,0.2630344058337938
sp|O75410|TACC1_HUMAN,O75410,6,0,-Inf
sp|O75431|MTX2_HUMAN,O75431,4,2,-1
sp|O75436|VP26A_HUMAN,O75436,4,5,0.32192809488736235
sp|O75438|NDUB1_HUMAN,O75438,3,2,-0.5849625007211563
sp|O75439|MPPB_HUMAN,O75439,3,7,1.222392421336448
sp|O75475|PSIP1_HUMAN,O75475,21,6,-1.8073549220576042
sp|O75477|ERLN1_HUMAN,O75477,5,10,1
sp|O75489|NDUS3_HUMAN,O75489,11,14,0.3479233034203068
sp|O75521|ECI2_HUMAN,O75521,5,5,0
sp|O75531|BAF_HUMAN,O75531,17,8,-1.0874628412503393
sp|O75533|SF3B1_HUMAN,O75533,4,15,1.9068905956085185
sp|O75534|CSDE1_HUMAN,O75534,15,10,-0.5849625007211563
sp|O75569|PRKRA_HUMAN,O75569,3,5,0.7369655941662062
sp|O75608|LYPA1_HUMAN,O75608,5,6,0.2630344058337938
sp|O75643|U520_HUMAN,O75643,5,32,2.678071905112638
sp|O75663|TIPRL_HUMAN,O75663,3,0,-Inf
sp|O75674|TM1L1_HUMAN,O75674,5,2,-1.3219280948873622
sp|O75688|PPM1B_HUMAN,O75688,5,1,-2.321928094887362
sp|O75746|S2512_HUMAN,O75746,7,7,0
sp|O75787|RENR_HUMAN,O75787,2,2,0
sp|O75821|EIF3G_HUMAN,O75821,11,5,-1.137503523749935
sp|O75822|EIF3J_HUMAN,O75822,7,1,-2.807354922057604
sp|O75828|CBR3_HUMAN,O75828,3,0,-Inf
sp|O75832|PSD10_HUMAN,O75832,4,3,-0.4150374992788438
sp|O75874|IDHC_HUMAN,O75874,43,25,-0.7824085649273732
sp|O75880|SCO1_HUMAN,O75880,3,3,0
sp|O75884|RBBP9_HUMAN,O75884,3,0,-Inf
sp|O75909|CCNK_HUMAN,O75909,2,0,-Inf
sp|O75915|PRAF3_HUMAN,O75915,5,2,-1.3219280948873622
sp|O75934|SPF27_HUMAN,O75934,3,0,-Inf
sp|O75935|DCTN3_HUMAN,O75935,3,0,-Inf
sp|O75937|DNJC8_HUMAN,O75937,6,2,-1.5849625007211563
sp|O75947|ATP5H_HUMAN,O75947,8,8,0
sp|O75955|FLOT1_HUMAN,O75955,10,16,0.6780719051126377
sp|O75964|ATP5L_HUMAN,O75964,10,12,0.2630344058337938
sp|O75976|CBPD_HUMAN,O75976,12,4,-1.5849625007211563
sp|O76003|GLRX3_HUMAN,O76003,13,6,-1.1154772174199359
sp|O76021|RL1D1_HUMAN,O76021,4,20,2.321928094887362
sp|O76031|CLPX_HUMAN,O76031,9,6,-0.5849625007211563
sp|O76071|CIAO1_HUMAN,O76071,3,4,0.41503749927884376
sp|O76094|SRP72_HUMAN,O76094,7,12,0.777607578663552
sp|O94760|DDAH1_HUMAN,O94760,3,0,-Inf
sp|O94766|B3GA3_HUMAN,O94766,3,6,1
sp|O94826|TOM70_HUMAN,O94826,21,14,-0.5849625007211563
sp|O94855|SC24D_HUMAN,O94855,2,0,-Inf
sp|O94903|PLPHP_HUMAN,O94903,6,0,-Inf
sp|O94905|ERLN2_HUMAN,O94905,3,5,0.7369655941662062
sp|O94907|DKK1_HUMAN,O94907,2,1,-1
sp|O94925|GLSK_HUMAN,O94925,23,19,-0.27563444261342734
sp|O94973|AP2A2_HUMAN,O94973,4,6,0.5849625007211562
sp|O94979|SC31A_HUMAN,O94979,11,6,-0.8744691179161412
sp|O94992|HEXI1_HUMAN,O94992,9,1,-3.1699250014423126
sp|O95139|NDUB6_HUMAN,O95139,3,2,-0.5849625007211563
sp|O95168|NDUB4_HUMAN,O95168,7,5,-0.4854268271702417
sp|O95182|NDUA7_HUMAN,O95182,3,7,1.222392421336448
sp|O95197|RTN3_HUMAN,O95197,4,3,-0.4150374992788438
sp|O95202|LETM1_HUMAN,O95202,9,11,0.289506617194985
sp|O95208|EPN2_HUMAN,O95208,1,1,0
sp|O95232|LC7L3_HUMAN,O95232,3,5,0.7369655941662062
sp|O95292|VAPB_HUMAN,O95292,2,3,0.5849625007211562
sp|O95295|SNAPN_HUMAN,O95295,3,0,-Inf
sp|O95298|NDUC2_HUMAN,O95298,3,1,-1.5849625007211563
sp|O95299|NDUAA_HUMAN,O95299,3,9,1.584962500721156
sp|O95302|FKBP9_HUMAN,O95302,5,8,0.6780719051126377
sp|O95336|6PGL_HUMAN,O95336,12,6,-1
sp|O95347|SMC2_HUMAN,O95347,14,11,-0.34792330342030686
sp|O95359|TACC2_HUMAN,O95359,4,0,-Inf
sp|O95361|TRI16_HUMAN,O95361,8,4,-1
